Order Number,Item,Pinyin,Frequency
2378,没有 回答,mei2 you3   hui2 da2,25
4041,地 回答,di4   hui2 da2,17
9156,回答 他,hui2 da2   ta1,9
10487,哈利 没有 回答,ha1 li4   mei2 you3   hui2 da2,8
13994,已经 答应,yi3 jing1   da1 ying4,6
14303,得 及 回答,de2   ji2   hui2 da2,6
14703,及 回答,ji2   hui2 da2,6
15325,来 得 及 回答,lai2   de2   ji2   hui2 da2,6
15367,哈利 回答,ha1 li4   hui2 da2,6
17623,还 没 来 得 及 回答,hai2   mei2   lai2   de2   ji2   hui2 da2,5
18030,人 回答,ren2   hui2 da2,5
20061,没 来 得 及 回答,mei2   lai2   de2   ji2   hui2 da2,5
20403,回答 了,hui2 da2   le,5
