Order Number,Item,Pinyin,Frequency
2223,的 帐篷,de   zhang4 peng2,26
2761,帐篷 里,zhang4 peng2   li3,22
3518,斗篷 的,dou3 peng2   de,18
4706,的 斗篷,de   dou3 peng2,15
7299,穿 斗篷,chuan1   dou3 peng2,10
9818,顶 帐篷,ding3   zhang4 peng2,8
10760,的 帐篷 里,de   zhang4 peng2   li3,8
10761,在 帐篷,zai4   zhang4 peng2,8
10975,着 斗篷,zhe   dou3 peng2,7
11030,穿 斗篷 的,chuan1   dou3 peng2   de,7
12182,旅行 斗篷,lv3 xing2   dou3 peng2,7
13381,了 帐篷,le   zhang4 peng2,6
14026,帐篷 的,zhang4 peng2   de,6
14992,斗篷 里,dou3 peng2   li3,6
15908,在 帐篷 里,zai4   zhang4 peng2   li3,6
17854,帐篷 上,zhang4 peng2   shang4,5
18646,从 斗篷,cong2   dou3 peng2,5
20010,毛皮 斗篷,mao2 pi2   dou3 peng2,5
20376,用 斗篷,yong4   dou3 peng2,5
