Order Number,Item,Pinyin,Frequency
190,小 精灵,xiao3   jing1 ling2,147
329,家养 小 精灵,jia1 yang3   xiao3   jing1 ling2,102
2572,的 家养 小 精灵,de   jia1 yang3   xiao3   jing1 ling2,23
4111,精彩 的,jing1 cai3   de,16
4522,家养 小精灵,jia1 yang3   xiao3 jing1 ling2,15
4534,小 精灵 的,xiao3   jing1 ling2   de,15
4734,精灵 的,jing1 ling2   de,15
5408,家养 小 精灵 的,jia1 yang3   xiao3   jing1 ling2   de,13
5563,个 家养 小 精灵,ge4   jia1 yang3   xiao3   jing1 ling2,13
7898,没 精打采,mei2   jing1 da3 cai3,10
8325,精打采 地,jing1 da3 cai3   di4,9
9048,没 精打采 地,mei2   jing1 da3 cai3   di4,9
9145,一 个 家养 小 精灵,yi1   ge4   jia1 yang3   xiao3   jing1 ling2,9
10109,小精灵 的,xiao3 jing1 ling2   de,8
10167,个 小精灵,ge4   xiao3 jing1 ling2,8
11307,精灵 是,jing1 ling2   shi4,7
12032,小 精灵 是,xiao3   jing1 ling2   shi4,7
12420,他 的 家养 小 精灵,ta1   de   jia1 yang3   xiao3   jing1 ling2,7
12830,的 家养 小精灵,de   jia1 yang3   xiao3 jing1 ling2,7
13143,着 家养 小 精灵,zhe   jia1 yang3   xiao3   jing1 ling2,6
13358,精彩 了,jing1 cai3   le,6
13360,精美 的,jing1 mei3   de,6
13385,太 精彩,tai4   jing1 cai3,6
13386,太 精彩 了,tai4   jing1 cai3   le,6
13566,妖精 叛乱,yao1 jing1   pan4 luan4,6
13702,精灵 权益,jing1 ling2   quan2 yi4,6
13753,小 妖精,xiao3   yao1 jing1,6
14237,集中 精力,ji2 zhong1   jing1 li4,6
14790,小 精灵 权益,xiao3   jing1 ling2   quan2 yi4,6
15099,是 家养 小 精灵,shi4   jia1 yang3   xiao3   jing1 ling2,6
15891,的 小 精灵,de   xiao3   jing1 ling2,6
16046,的 精力,de   jing1 li4,6
16722,精品 店,jing1 pin3   dian4,5
16723,精灵 多 比,jing1 ling2   duo1   bi3,5
16724,精灵 多,jing1 ling2   duo1,5
16726,精神 错乱 了,jing1 shen2   cuo4 luan4   le,5
16727,精神 错乱,jing1 shen2   cuo4 luan4,5
17114,妖精 的,yao1 jing1   de,5
17490,小 精灵 多 比,xiao3   jing1 ling2   duo1   bi3,5
17491,小 精灵 多,xiao3   jing1 ling2   duo1,5
17500,小 精灵们,xiao3   jing1 ling2 men,5
18320,魁地奇 精品 店,kui2 di4 qi2   jing1 pin3   dian4,5
18321,魁地奇 精品,kui2 di4 qi2   jing1 pin3,5
19137,个 妖精,ge4   yao1 jing1,5
19335,无精打采 地,wu2 jing1 da3 cai3   di4,5
19643,最 精彩,zui4   jing1 cai3,5
