Order Number,Item,Pinyin,Frequency
2420,得 通红,de2   tong1 hong2,25
2468,涨 得 通红,zhang3   de2   tong1 hong2,24
2921,鲜红色 的,xian1 hong2 se4   de,21
3812,红 了,hong2   le,17
4816,红色 的,hong2 se4   de,14
6747,脸红 了,lian3 hong2   le,11
7137,的 红眼睛,de   hong2 yan3 jing1,11
7181,粉红色 的,fen3 hong2 se4   de,11
7292,脸 涨 得 通红,lian3   zhang3   de2   tong1 hong2,10
8081,的 粉红色,de   fen3 hong2 se4,10
8330,红 得,hong2   de2,9
9078,涨红 了,zhang4 hong2   le,9
9437,紫红色 的,zi3 hong2 se4   de,8
9439,红色 火花,hong2 se4   huo3 hua1,8
9604,红通通 的,hong2 tong1 tong1   de,8
9843,鲜红 的,xian1 hong2   de,8
10842,的 红光,de   hong2 guang1,8
10852,的 脸红,de   lian3 hong2,8
11087,红头发 的,hong2 tou2 fa1   de,7
11512,脸红 得,lian3 hong2   de2,7
12614,涨红 了 脸,zhang4 hong2   le   lian3,7
13371,红 信封,hong2   xin4 feng1,6
16047,的 红,de   hong2,6
16071,的 脸红 了,de   lian3 hong2   le,6
16747,红色 和,hong2 se4   he2,5
18981,变得 通红,bian4 de2   tong1 hong2,5
19611,个 红头发,ge4   hong2 tou2 fa1,5
20183,深红色 的,shen1 hong2 se4   de,5
20789,的 红晕,de   hong2 yun4,5
20824,的 脸 涨 得 通红,de   lian3   zhang3   de2   tong1 hong2,5
