Order Number,Item,Pinyin,Frequency
764,一 年级,yi1   nian2 ji2,58
1004,年级 学生,nian2 ji2   xue2 sheng1,49
1715,一 年级 新生,yi1   nian2 ji2   xin1 sheng1,32
1720,年级 新生,nian2 ji2   xin1 sheng1,32
2048,年级 的,nian2 ji2   de,28
2295,三 年级,san1   nian2 ji2,26
4005,四 年级,si4   nian2 ji2,17
4028,五 年级,wu3   nian2 ji2,17
4115,级长 的,ji2 zhang3   de,16
4252,二 年级,er4   nian2 ji2,16
5061,六 年级,liu4   nian2 ji2,14
5204,一 年级 学生,yi1   nian2 ji2   xue2 sheng1,13
6758,一 级,yi1   ji2,11
7095,的 级长,de   ji2 zhang3,11
7891,年级 时,nian2 ji2   shi2,10
8447,年级 女生,nian2 ji2   nv3 sheng1,9
9168,当 级长,dang1   ji2 zhang3,9
9605,级 台阶,ji2   tai2 jie1,8
9929,三 年级 学生,san1   nian2 ji2   xue2 sheng1,8
10370,六 年级 学生,liu4   nian2 ji2   xue2 sheng1,8
11089,级长 的 徽章,ji2 zhang3   de   hui1 zhang1,7
12289,是 级长,shi4   ji2 zhang3,7
12329,个 级长,ge4   ji2 zhang3,7
12736,的 一 年级,de   yi1   nian2 ji2,7
13374,级 勋章,ji2   xun1 zhang1,6
13719,一 年级 的,yi1   nian2 ji2   de,6
13909,二 年级 学生,er4   nian2 ji2   xue2 sheng1,6
14073,年级 的 同学,nian2 ji2   de   tong2 xue2,6
14472,三 年级 的,san1   nian2 ji2   de,6
16746,级长 呢,ji2 zhang3   ne,5
16748,级长 徽章,ji2 zhang3   hui1 zhang1,5
17724,二 年级 的,er4   nian2 ji2   de,5
17758,五 年级 学生,wu3   nian2 ji2   xue2 sheng1,5
17765,巫师 等级,wu1 shi1   deng3 ji2,5
17933,年级 的 时候,nian2 ji2   de   shi2 hou4,5
18631,三 年级 时,san1   nian2 ji2   shi2,5
18708,三 级,san1   ji2,5
19600,普通 巫师 等级,pu3 tong1   wu1 shi1   deng3 ji2,5
20364,四 年级 学生,si4   nian2 ji2   xue2 sheng1,5
20427,一 级 台阶,yi1   ji2   tai2 jie1,5
20788,的 级长 徽章,de   ji2 zhang3   hui1 zhang1,5
