Order Number,Item,Pinyin,Frequency
1614,绝对 不,jue2 dui4   bu4,34
1781,绝 不,jue2   bu4,31
2212,绝望 地,jue2 wang4   di4,26
3530,绝 不 会,jue2   bu4   hui4,18
9626,绝对 不 能,jue2 dui4   bu4   neng2,8
10288,是 绝对,shi4   jue2 dui4,8
11105,绝望 地 说,jue2 wang4   di4   shuo1,7
13398,绝对 不 是,jue2 dui4   bu4   shi4,6
13399,绝对 不 会,jue2 dui4   bu4   hui4,6
16783,绝妙 的,jue2 miao4   de,5
16786,绝望 的,jue2 wang4   de,5
16791,绝对 是,jue2 dui4   shi4,5
18766,我 绝对,wo3   jue2 dui4,5
19544,是 绝对 不,shi4   jue2 dui4   bu4,5
20017,他 绝,ta1   jue2,5
20126,哈利 绝望,ha1 li4   jue2 wang4,5
20127,哈利 绝望 地,ha1 li4   jue2 wang4   di4,5
20206,滔滔不绝 地,tao1 tao1 bu4 jue2   di4,5
