Order Number,Item,Pinyin,Frequency
1961,张 羊皮纸,zhang1   yang2 pi2 zhi3,29
2174,卷 羊皮纸,juan3   yang2 pi2 zhi3,27
2659,的 羊皮纸,de   yang2 pi2 zhi3,23
4128,羊皮纸 上,yang2 pi2 zhi3   shang4,16
5547,一 张 羊皮纸,yi1   zhang1   yang2 pi2 zhi3,13
7159,一 卷 羊皮纸,yi1   juan3   yang2 pi2 zhi3,11
7862,那 张 羊皮纸,na4   zhang1   yang2 pi2 zhi3,10
8383,羊皮纸 和,yang2 pi2 zhi3   he2,9
10079,把 羊皮纸,ba3   yang2 pi2 zhi3,8
16019,在 羊皮纸,zai4   yang2 pi2 zhi3,6
16870,羊皮纸 的,yang2 pi2 zhi3   de,5
20754,在 羊皮纸 上,zai4   yang2 pi2 zhi3   shang4,5
