Order Number,Item,Pinyin,Frequency
1192,一 群,yi1   qun2,43
1686,的 人群,de   ren2 qun2,33
2335,一 大 群,yi1   da4   qun2,25
2339,大 群,da4   qun2,25
2700,人群 中,ren2 qun2   zhong1,23
3681,在 人群,zai4   ren2 qun2,18
5317,群 人,qun2   ren2,13
5712,人群 里,ren2 qun2   li3,13
9825,人群 的,ren2 qun2   de,8
13257,一 大 群 人,yi1   da4   qun2   ren2,6
13300,大 群 人,da4   qun2   ren2,6
13557,穿过 人群,chuan1 guo4   ren2 qun2,6
14452,从 人群,cong2   ren2 qun2,6
15792,在 人群 里,zai4   ren2 qun2   li3,6
15793,在 人群 中,zai4   ren2 qun2   zhong1,6
16299,着 一 大 群,zhe   yi1   da4   qun2,5
18530,从 人群 中,cong2   ren2 qun2   zhong1,5
20454,的 人群 中,de   ren2 qun2   zhong1,5
