Order Number,Item,Pinyin,Frequency
1435,的 老,de   lao3,38
2466,的 老师,de   lao3 shi1,24
3522,课 老师,ke4   lao3 shi1,18
4275,位 老师,wei4   lao3 shi1,16
4683,的 老鼠,de   lao3 shu3,15
5043,个 老,ge4   lao3,14
5505,只 老鼠,zhi3   lao3 shu3,13
6795,古老 的,gu3 lao3   de,11
7373,其他 老师,qi2 ta1   lao3 shi1,10
7403,老师 的,lao3 shi1   de,10
7448,老天 的,lao3 tian1   de,10
8394,老 了,lao3   le,9
8395,老 巫师,lao3   wu1 shi1,9
8417,老天 的 分儿 上,lao3 tian1   de   fen1 er2   shang4,9
8441,老天 的 分儿,lao3 tian1   de   fen1 er2,9
9067,酒吧 老板,jiu3 ba1   lao3 ban3,9
9698,一 位 老师,yi1   wei4   lao3 shi1,8
10714,一 个 老,yi1   ge4   lao3,8
11424,老 朋友,lao3   peng2 you3,7
11425,老鼠 斑斑,lao3 shu3   ban1 ban1,7
11426,老鼠 的,lao3 shu3   de,7
12505,死 老鼠,si3   lao3 shu3,7
12920,在 老天,zai4   lao3 tian1,7
12921,在 老天 的,zai4   lao3 tian1   de,7
13060,看 在 老天,kan4   zai4   lao3 tian1,7
13073,看 在 老天 的,kan4   zai4   lao3 tian1   de,7
13446,老 房子,lao3   fang2 zi,6
13641,了 老师,le   lao3 shi1,6
13695,课 的 老师,ke4   de   lao3 shi1,6
14202,防御 术 课 老师,fang2 yu4   shu4   ke4   lao3 shi1,6
14345,魔法 防御 术 课 老师,mo2 fa3   fang2 yu4   shu4   ke4   lao3 shi1,6
14364,黑 魔法 防御 术 课 老师,hei1   mo2 fa3   fang2 yu4   shu4   ke4   lao3 shi1,6
14798,把 老鼠,ba3   lao3 shu3,6
15126,一 只 老鼠,yi1   zhi3   lao3 shu3,6
15307,术 课 老师,shu4   ke4   lao3 shi1,6
16021,在 老天 的 分儿,zai4   lao3 tian1   de   fen1 er2,6
16022,在 老天 的 分儿 上,zai4   lao3 tian1   de   fen1 er2   shang4,6
16206,看 在 老天 的 分儿 上,kan4   zai4   lao3 tian1   de   fen1 er2   shang4,6
16207,看 在 老天 的 分儿,kan4   zai4   lao3 tian1   de   fen1 er2,6
16881,老师 要,lao3 shi1   yao4,5
16886,老鼠 强身剂,lao3 shu3   qiang2 shen1 ji4,5
16887,老师 都,lao3 shi1   dou1,5
18251,很 老 了,hen3   lao3   le,5
18252,很 老,hen3   lao3,5
18356,魔药 课 老师,mo2 yao4   ke4   lao3 shi1,5
19316,新 老师,xin1   lao3 shi1,5
