Order Number,Item,Pinyin,Frequency
695,的 肩膀,de   jian1 bang3,62
1792,肩膀 上,jian1 bang3   shang4,31
2976,哈利 的 肩膀,ha1 li4   de   jian1 bang3,21
3333,了 耸肩膀,le   song3 jian1 bang3,19
4715,的 肩膀 上,de   jian1 bang3   shang4,15
5265,他 的 肩膀,ta1   de   jian1 bang3,13
7140,的 肩头,de   jian1 tou2,11
7505,了 耸肩,le   song3 jian1,10
8403,耸 了 耸肩膀,song3   le   song3 jian1 bang3,9
10491,他 肩膀,ta1   jian1 bang3,8
14944,擦肩 而,ca1 jian1   er2,6
15343,他 的 肩头,ta1   de   jian1 tou2,6
15462,他 肩膀 上,ta1   jian1 bang3   shang4,6
