Order Number,Item,Pinyin,Frequency
232,的 脑袋,de   nao3 dai4,131
744,脑子 里,nao3 zi   li3,59
1273,脑海 里,nao3 hai3   li3,41
1994,把 脑袋,ba3   nao3 dai4,29
2906,他 的 脑袋,ta1   de   nao3 dai4,21
3162,脑袋 上,nao3 dai4   shang4,20
3436,的 脑子,de   nao3 zi,19
3775,着 脑袋,zhe   nao3 dai4,17
4180,他 脑海,ta1   nao3 hai3,16
4496,的 脑海,de   nao3 hai3,15
4846,脑袋 的,nao3 dai4   de,14
5046,个 脑袋,ge4   nao3 dai4,14
5161,的 脑海 里,de   nao3 hai3   li3,14
5333,他 脑海 里,ta1   nao3 hai3   li3,13
5583,的 大脑,de   da4 nao3,13
6018,脑袋 里,nao3 dai4   li3,12
6311,三 个 脑袋,san1   ge4   nao3 dai4,12
6334,的 后脑勺,de   hou4 nao3 shao2,12
6508,脑 后,nao3   hou4,11
6685,他 脑袋,ta1   nao3 dai4,11
7309,他 的 脑海,ta1   de   nao3 hai3,10
7508,三 个 脑袋 的,san1   ge4   nao3 dai4   de,10
7806,个 脑袋 的,ge4   nao3 dai4   de,10
8435,脑袋 在,nao3 dai4   zai4,9
8981,他 的 脑海 里,ta1   de   nao3 hai3   li3,9
9042,他 脑子,ta1   nao3 zi,9
9513,自己 的 脑袋,zi4 ji3   de   nao3 dai4,8
9733,脑袋 从,nao3 dai4   cong2,8
10399,条 三 个 脑袋,tiao2   san1   ge4   nao3 dai4,8
10400,条 三 个 脑袋 的,tiao2   san1   ge4   nao3 dai4   de,8
10506,哈利 的 脑袋,ha1 li4   de   nao3 dai4,8
10738,的 头脑,de   tou2 nao3,8
10849,的 脑袋 在,de   nao3 dai4   zai4,8
11179,你 的 脑袋,ni3   de   nao3 dai4,7
11725,了 脑袋,le   nao3 dai4,7
12923,在 脑子,zai4   nao3 zi,7
12925,在 脑子 里,zai4   nao3 zi   li3,7
13489,脑海 中,nao3 hai3   zhong1,6
13490,脑子 里 有,nao3 zi   li3   you3,6
13491,脑袋 凑,nao3 dai4   cou4,6
13493,脑门 上,nao3 men2   shang4,6
13638,它 的 脑袋,ta1   de   nao3 dai4,6
15523,哈利 脑海,ha1 li4   nao3 hai3,6
15805,在 他 脑海,zai4   ta1   nao3 hai3,6
16059,的 脑子 里,de   nao3 zi   li3,6
16062,的 脑袋 上,de   nao3 dai4   shang4,6
16343,着 头脑,zhe   tou2 nao3,5
16962,脑袋 的 大 狗,nao3 dai4   de   da4   gou3,5
16963,脑袋 的 大,nao3 dai4   de   da4,5
16968,脑袋 凑 在,nao3 dai4   cou4   zai4,5
17245,不 着 头脑,bu4   zhe   tou2 nao3,5
17277,了 脑 后,le   nao3   hou4,5
17278,了 脑,le   nao3,5
17881,那 条 三 个 脑袋,na4   tiao2   san1   ge4   nao3 dai4,5
17882,那 条 三 个 脑袋 的,na4   tiao2   san1   ge4   nao3 dai4   de,5
18484,三 个 脑袋 的 大 狗,san1   ge4   nao3 dai4   de   da4   gou3,5
18485,三 个 脑袋 的 大,san1   ge4   nao3 dai4   de   da4,5
19206,摸 不 着 头脑,mo1   bu4   zhe   tou2 nao3,5
19634,个 脑袋 的 大 狗,ge4   nao3 dai4   de   da4   gou3,5
19635,个 脑袋 的 大,ge4   nao3 dai4   de   da4,5
19750,他 的 大脑,ta1   de   da4 nao3,5
19801,条 三 个 脑袋 的 大,tiao2   san1   ge4   nao3 dai4   de   da4,5
19848,他 的 脑子,ta1   de   nao3 zi,5
20065,哈利 的 脑子,ha1 li4   de   nao3 zi,5
20495,在 他 脑海 里,zai4   ta1   nao3 hai3   li3,5
20564,的 大脑袋,de   da4 nao3 dai4,5
20819,的 脑袋 里,de   nao3 dai4   li3,5
