Order Number,Item,Pinyin,Frequency
1122,的 脚步声,de   jiao3 bu4 sheng1,45
1127,的 脚,de   jiao3,45
2066,停住 脚步,ting2 zhu4   jiao3 bu4,28
2215,双 脚,shuang1   jiao3,26
3573,脚 下,jiao3   xia4,18
4316,大 脚板,da4   jiao3 ban3,16
4669,高脚 酒杯,gao1 jiao3   jiu3 bei1,15
5162,的 脚步,de   jiao3 bu4,14
5395,了 脚步,le   jiao3 bu4,13
5497,蹑手蹑脚 地,nie4 shou3 nie4 jiao3   di4,13
5504,一 脚,yi1   jiao3,13
5506,只 脚,zhi3   jiao3,13
5510,停下 脚步,ting2 xia4   jiao3 bu4,13
5613,他 的 脚,ta1   de   jiao3,13
5860,脚 上,jiao3   shang4,12
6487,着 脚,zhe   jiao3,11
7331,了 脚步声,le   jiao3 bu4 sheng1,10
9035,沉重 的 脚步,chen2 zhong4   de   jiao3 bu4,9
9416,着 沉重 的 脚步,zhe   chen2 zhong4   de   jiao3 bu4,8
9741,脚 边,jiao3   bian1,8
9909,刹住 脚步,sha1 zhu4   jiao3 bu4,8
10654,用 脚,yong4   jiao3,8
11048,大 脚板 和,da4   jiao3 ban3   he2,7
11491,脚 下 的,jiao3   xia4   de,7
11492,脚板 和,jiao3 ban3   he2,7
12785,的 双 脚,de   shuang1   jiao3,7
13022,的 高脚,de   gao1 jiao3,7
13304,大 脚板 和 尖头 叉子,da4   jiao3 ban3   he2   jian1 tou2   cha1 zi,6
13495,脚板 和 尖头,jiao3 ban3   he2   jian1 tou2,6
13496,脚板 和 尖头 叉子,jiao3 ban3   he2   jian1 tou2   cha1 zi,6
13603,大 脚板 和 尖头,da4   jiao3 ban3   he2   jian1 tou2,6
14541,两 只 脚,liang3   zhi3   jiao3,6
14856,拖 着 沉重 的 脚步,tuo1   zhe   chen2 zhong4   de   jiao3 bu4,6
16069,的 脚脖子,de   jiao3 bo2 zi,6
16165,的 高脚 酒杯,de   gao1 jiao3   jiu3 bei1,6
16660,笨手笨脚 地,ben4 shou3 ben4 jiao3   di4,5
16964,脚 一 蹬,jiao3   yi1   deng1,5
16965,脚 一,jiao3   yi1,5
16966,脚 把,jiao3   ba3,5
16970,脚 都,jiao3   dou1,5
17511,蹩脚 的,bie2 jiao3   de,5
17550,停住 了 脚步,ting2 zhu4   le   jiao3 bu4,5
17554,轻手轻脚 地,qing1 shou3 qing1 jiao3   di4,5
18565,加快 脚步,jia1 kuai4   jiao3 bu4,5
18566,加快 了 脚步,jia1 kuai4   le   jiao3 bu4,5
18683,一 双 脚,yi1   shuang1   jiao3,5
18866,手忙脚乱 地,shou3 mang2 jiao3 luan4   di4,5
19108,只 高脚杯,zhi3   gao1 jiao3 bei1,5
20059,他 脚,ta1   jiao3,5
20512,的 双脚,de   shuang1 jiao3,5
21050,传来 了 脚步声,chuan2 lai2   le   jiao3 bu4 sheng1,5
