Order Number,Item,Pinyin,Frequency
270,在 霍格沃茨,zai4   huo4 ge2 wo4 ci2,117
339,霍格沃茨 的,huo4 ge2 wo4 ci2   de,101
1940,霍格沃茨 特 快,huo4 ge2 wo4 ci2   te4   kuai4,29
1952,霍格沃茨 特,huo4 ge2 wo4 ci2   te4,29
1973,霍格沃茨 特 快 列车,huo4 ge2 wo4 ci2   te4   kuai4   lie4 che1,29
2029,霍格沃茨 魔法,huo4 ge2 wo4 ci2   mo2 fa3,28
2071,霍格沃茨 魔法 学校,huo4 ge2 wo4 ci2   mo2 fa3   xue2 xiao4,28
2204,是 霍格沃茨,shi4   huo4 ge2 wo4 ci2,27
2513,了 霍格沃茨,le   huo4 ge2 wo4 ci2,24
2922,罗伯茨 先生,luo2 bo2 ci2   xian1 sheng1,21
4690,到 霍格沃茨,dao4   huo4 ge2 wo4 ci2,15
5579,是 霍格沃茨 的,shi4   huo4 ge2 wo4 ci2   de,13
6108,他 在 霍格沃茨,ta1   zai4   huo4 ge2 wo4 ci2,12
6294,霍格沃茨 学校,huo4 ge2 wo4 ci2   xue2 xiao4,12
6637,被 霍格沃茨,bei4   huo4 ge2 wo4 ci2,11
7149,在 霍格沃茨 的,zai4   huo4 ge2 wo4 ci2   de,11
7202,霍格沃茨 了,huo4 ge2 wo4 ci2   le,10
8040,霍格沃茨 开除,huo4 ge2 wo4 ci2   kai1 chu2,10
8646,去 霍格沃茨,qu4   huo4 ge2 wo4 ci2,9
8729,了 霍格沃茨 的,le   huo4 ge2 wo4 ci2   de,9
9227,霍格沃茨 上学,huo4 ge2 wo4 ci2   shang4 xue2,9
9797,被 霍格沃茨 开除,bei4   huo4 ge2 wo4 ci2   kai1 chu2,8
9803,霍格沃茨 的 勇士,huo4 ge2 wo4 ci2   de   yong3 shi4,8
9804,霍格沃茨 魔法 学校 校长,huo4 ge2 wo4 ci2   mo2 fa3   xue2 xiao4   xiao4 zhang3,8
10896,的 霍格沃茨,de   huo4 ge2 wo4 ci2,8
11086,着 霍格沃茨,zhe   huo4 ge2 wo4 ci2,7
11838,我 在 霍格沃茨,wo3   zai4   huo4 ge2 wo4 ci2,7
11859,从 霍格沃茨,cong2   huo4 ge2 wo4 ci2,7
14246,霍格沃茨 上,huo4 ge2 wo4 ci2   shang4,6
14248,霍格沃茨 发生,huo4 ge2 wo4 ci2   fa1 sheng1,6
14250,霍格沃茨 有,huo4 ge2 wo4 ci2   you3,6
14251,霍格沃茨 最,huo4 ge2 wo4 ci2   zui4,6
15337,来到 霍格沃茨,lai2 dao4   huo4 ge2 wo4 ci2,6
15695,回 霍格沃茨,hui2   huo4 ge2 wo4 ci2,6
15712,留 在 霍格沃茨,liu2   zai4   huo4 ge2 wo4 ci2,6
15928,霍格沃茨 来,huo4 ge2 wo4 ci2   lai2,6
15939,霍格沃茨 就,huo4 ge2 wo4 ci2   jiu4,6
16084,在 霍格沃茨 上,zai4   huo4 ge2 wo4 ci2   shang4,6
16089,在 霍格沃茨 魔法 学校,zai4   huo4 ge2 wo4 ci2   mo2 fa3   xue2 xiao4,6
16090,在 霍格沃茨 魔法,zai4   huo4 ge2 wo4 ci2   mo2 fa3,6
16803,罗伯茨 先生 说,luo2 bo2 ci2   xian1 sheng1   shuo1,5
17590,过 霍格沃茨,guo4   huo4 ge2 wo4 ci2,5
17764,进入 霍格沃茨,jin4 ru4   huo4 ge2 wo4 ci2,5
18212,霍格沃茨 城堡,huo4 ge2 wo4 ci2   cheng2 bao3,5
18213,霍格沃茨 学生,huo4 ge2 wo4 ci2   xue2 sheng1,5
18218,霍格沃茨 的 学生,huo4 ge2 wo4 ci2   de   xue2 sheng1,5
19574,上 霍格沃茨,shang4   huo4 ge2 wo4 ci2,5
19880,哈利 在 霍格沃茨,ha1 li4   zai4   huo4 ge2 wo4 ci2,5
20384,回到 霍格沃茨,hui2 dao4   huo4 ge2 wo4 ci2,5
20849,在 霍格沃茨 学校,zai4   huo4 ge2 wo4 ci2   xue2 xiao4,5
