Order Number,Item,Pinyin,Frequency
1473,魔药 课,mo2 yao4   ke4,37
3260,的 魔药,de   mo2 yao4,20
4231,草药 课,cao3 yao4   ke4,16
7170,的 魔药 课,de   mo2 yao4   ke4,11
8865,上 草药,shang4   cao3 yao4,9
10860,的 药剂,de   yao4 ji4,8
10861,的 药水,de   yao4 shui3,8
10874,在 魔药,zai4   mo2 yao4,8
12235,上 草药 课,shang4   cao3 yao4   ke4,7
12956,的 药,de   yao4,7
13269,种 药,zhong3   yao4,6
14346,魔药 课 上,mo2 yao4   ke4   shang4,6
14348,魔药 课上,mo2 yao4   ke4 shang4,6
18356,魔药 课 老师,mo2 yao4   ke4   lao3 shi1,5
18357,魔药 课 教师,mo2 yao4   ke4   jiao4 shi1,5
19499,这 种 药,zhe4   zhong3   yao4,5
20877,在 魔药 课上,zai4   mo2 yao4   ke4 shang4,5
