Order Number,Item,Pinyin,Frequency
1638,角落 里,jiao3 luo4   li3,34
3124,个 角落,ge4   jiao3 luo4,20
4538,独角兽 的,du2 jiao3 shou4   de,15
5197,个 角落 里,ge4   jiao3 luo4   li3,13
6737,对 角巷,dui4   jiao3 xiang4,11
7091,一 个 角落,yi1   ge4   jiao3 luo4,11
7910,一 个 角落 里,yi1   ge4   jiao3 luo4   li3,10
8021,的 角落,de   jiao3 luo4,10
10755,在 对角巷,zai4   dui4 jiao3 xiang4,8
12059,只 独角兽,zhi3   du2 jiao3 shou4,7
12810,一 角,yi1   jiao3,7
12968,的 角落 里,de   jiao3 luo4   li3,7
13204,墙角 的,qiang2 jiao3   de,6
14147,一 个 墙角,yi1   ge4   qiang2 jiao3,6
14838,个 墙角,ge4   qiang2 jiao3,6
16034,在 角落,zai4   jiao3 luo4,6
16094,的 角度,de   jiao3 du4,6
17220,角 的,jiao3   de,5
19454,一 只 独角兽,yi1   zhi3   du2 jiao3 shou4,5
19530,是 独角兽,shi4   du2 jiao3 shou4,5
19641,个 角度,ge4   jiao3 du4,5
19979,每 个 角落,mei3   ge4   jiao3 luo4,5
20299,独角兽 的 血,du2 jiao3 shou4   de   xue4,5
20330,嘴 角,zui3   jiao3,5
20404,的 一 个 角落,de   yi1   ge4   jiao3 luo4,5
20775,在 角落 里,zai4   jiao3 luo4   li3,5
