Order Number,Item,Pinyin,Frequency
606,意识 到,yi4 shi2   dao4,68
4334,意识 到 自己,yi4 shi2   dao4   zi4 ji3,16
4504,不 认识,bu4   ren4 shi2,15
4728,地 意识,di4   yi4 shi2,15
4729,地 意识 到,di4   yi4 shi2   dao4,15
5952,没有 意识 到,mei2 you3   yi4 shi2   dao4,12
6266,没有 意识,mei2 you3   yi4 shi2,12
7304,突然 意识,tu1 ran2   yi4 shi2,10
7305,突然 意识 到,tu1 ran2   yi4 shi2   dao4,10
8533,认识 的,ren4 shi2   de,9
8696,才 意识 到,cai2   yi4 shi2   dao4,9
8697,才 意识,cai2   yi4 shi2,9
11776,意识 到 他,yi4 shi2   dao4   ta1,7
12573,他 认识,ta1   ren4 shi2,7
12582,哈利 突然 意识 到,ha1 li4   tu1 ran2   yi4 shi2   dao4,7
12583,哈利 突然 意识,ha1 li4   tu1 ran2   yi4 shi2,7
13559,你 认识,ni3   ren4 shi2,6
16622,突然 意识 到 自己,tu1 ran2   yi4 shi2   dao4   zi4 ji3,5
17236,认识 到,ren4 shi2   dao4,5
17237,认识 他,ren4 shi2   ta1,5
18780,我 认识,wo3   ren4 shi2,5
20037,下意识 地,xia4 yi4 shi2   di4,5
20759,的 知识,de   zhi1 shi2,5
