Order Number,Item,Pinyin,Frequency
325,告诉 我,gao4 su4   wo3,104
480,告诉 你,gao4 su4   ni3,81
488,告诉 他,gao4 su4   ta1,79
970,告诉 我们,gao4 su4   wo3 men,50
992,告诉 了,gao4 su4   le,49
1133,我 告诉,wo3   gao4 su4,45
1286,告诉 过,gao4 su4   guo4,41
1410,告诉 他们,gao4 su4   ta1 men,38
1649,要 告诉,yao4   gao4 su4,34
1688,告诉 你们,gao4 su4   ni3 men,33
2127,会 告诉,hui4   gao4 su4,27
2740,告诉 过 你,gao4 su4   guo4   ni3,22
3184,地 告诉,di4   gao4 su4,20
3227,告诉 她,gao4 su4   ta1,20
3285,我 告诉 过,wo3   gao4 su4   guo4,19
3392,都 告诉,dou1   gao4 su4,19
3555,你 告诉,ni3   gao4 su4,18
3885,想 告诉,xiang3   gao4 su4,17
4230,他 告诉,ta1   gao4 su4,16
4301,告诉 哈利,gao4 su4   ha1 li4,16
4355,告诉 我 的,gao4 su4   wo3   de,16
4532,我 告诉 过 你,wo3   gao4 su4   guo4   ni3,15
4714,不 告诉,bu4   gao4 su4,15
4841,能 告诉,neng2   gao4 su4,14
5020,事 告诉,shi4   gao4 su4,14
5525,就 告诉,jiu4   gao4 su4,13
5572,告诉 罗恩,gao4 su4   luo2 en1,13
6395,告诉 大家,gao4 su4   da4 jia1,12
6826,可以 告诉,ke3 yi3   gao4 su4,11
6883,告诉 你 吧,gao4 su4   ni3   ba,11
6993,没有 告诉,mei2 you3   gao4 su4,11
7012,人 告诉,ren2   gao4 su4,11
7051,的 事 告诉,de   shi4   gao4 su4,11
7222,写信 告诉,xie3 xin4   gao4 su4,10
7634,一切 都 告诉,yi1 qie4   dou1   gao4 su4,10
7954,不 会 告诉,bu4   hui4   gao4 su4,10
8280,要 告诉 你,yao4   gao4 su4   ni3,9
8332,不 能 告诉,bu4   neng2   gao4 su4,9
8387,事情 告诉,shi4 qing2   gao4 su4,9
8502,要 告诉 你们,yao4   gao4 su4   ni3 men,9
8605,我 告诉 你,wo3   gao4 su4   ni3,9
8888,告诉 他 的,gao4 su4   ta1   de,9
8892,告诉 邓布 利多,gao4 su4   deng4 bu4   li4 duo1,9
8975,来 告诉,lai2   gao4 su4,9
9350,告诉 邓布,gao4 su4   deng4 bu4,9
10279,告诉 了 我,gao4 su4   le   wo3,8
11093,你 告诉 我,ni3   gao4 su4   wo3,7
11858,原原本本 地 告诉,yuan2 yuan2 ben3 ben3   di4   gao4 su4,7
11981,把 一切 都 告诉,ba3   yi1 qie4   dou1   gao4 su4,7
12142,教授 告诉,jiao4 shou4   gao4 su4,7
12273,告诉 了 他们,gao4 su4   le   ta1 men,7
12276,告诉 任何,gao4 su4   ren4 he2,7
12277,告诉 任何 人,gao4 su4   ren4 he2   ren2,7
12284,告诉 我 说,gao4 su4   wo3   shuo1,7
12924,告诉 你 的,gao4 su4   ni3   de,7
13825,不 要 告诉,bu4   yao4   gao4 su4,6
14079,都 告诉 了,dou1   gao4 su4   le,6
14095,应该 告诉,ying1 gai1   gao4 su4,6
14448,想 告诉 你,xiang3   gao4 su4   ni3,6
14530,我 告诉 他,wo3   gao4 su4   ta1,6
14531,我 告诉 你们,wo3   gao4 su4   ni3 men,6
14599,我 要 告诉,wo3   yao4   gao4 su4,6
14922,可以 告诉 你,ke3 yi3   gao4 su4   ni3,6
15757,的 事情 告诉,de   shi4 qing2   gao4 su4,6
16120,会 告诉 你,hui4   gao4 su4   ni3,6
16905,她 告诉,ta1   gao4 su4,5
16940,能 告诉 你,neng2   gao4 su4   ni3,5
17358,败诉 了,bai4 su4   le,5
17821,邓布 利多 告诉,deng4 bu4   li4 duo1   gao4 su4,5
17944,都 告诉 我,dou1   gao4 su4   wo3,5
17995,人 告诉 过,ren2   gao4 su4   guo4,5
18372,利多 告诉,li4 duo1   gao4 su4,5
18415,快 告诉,kuai4   gao4 su4,5
18598,愿意 告诉,yuan4 yi4   gao4 su4,5
18660,我 可以 告诉,wo3   ke3 yi3   gao4 su4,5
18665,我 可以 告诉 你,wo3   ke3 yi3   gao4 su4   ni3,5
18727,我 来 告诉,wo3   lai2   gao4 su4,5
18729,我 来 告诉 你,wo3   lai2   gao4 su4   ni3,5
18747,去 告诉,qu4   gao4 su4,5
19101,他 告诉 他们,ta1   gao4 su4   ta1 men,5
19531,告诉 你们 的,gao4 su4   ni3 men   de,5
19533,告诉 别人,gao4 su4   bie2 ren2,5
19534,告诉 你们 吧,gao4 su4   ni3 men   ba,5
19540,告诉 我 了,gao4 su4   wo3   le,5
19545,告诉 罗恩 和 赫敏,gao4 su4   luo2 en1   he2   he4 min3,5
19554,告诉 罗恩 和,gao4 su4   luo2 en1   he2,5
19818,来 告诉 你,lai2   gao4 su4   ni3,5
19847,哈利 告诉,ha1 li4   gao4 su4,5
20050,没 告诉,mei2   gao4 su4,5
20163,海格 告诉,hai3 ge2   gao4 su4,5
20434,他们 告诉,ta1 men   gao4 su4,5
20813,不 告诉 他,bu4   gao4 su4   ta1,5
20893,会 告诉 我,hui4   gao4 su4   wo3,5
20921,地 告诉 了,di4   gao4 su4   le,5
