Order Number,Item,Pinyin,Frequency
175,是 谁,shi4   shui2,155
391,谁 也,shui2   ye3,91
1126,有 谁,you3   shui2,45
1282,谁 也 不,shui2   ye3   bu4,41
1699,谁 都,shui2   dou1,33
1703,谁 也 没有,shui2   ye3   mei2 you3,33
3168,谁 在,shui2   zai4,20
3782,谁 会,shui2   hui4,17
4445,谁 都 不,shui2   dou1   bu4,15
5076,还 有 谁,hai2   you3   shui2,14
5239,知道 是 谁,zhi1 dao4   shi4   shui2,13
5325,你 是 谁,ni3   shi4   shui2,13
5432,谁 能,shui2   neng2,13
6171,他 是 谁,ta1   shi4   shui2,12
6711,谁 也 不 会,shui2   ye3   bu4   hui4,11
7571,谁 也 没有 说话,shui2   ye3   mei2 you3   shuo1 hua4,10
7573,谁 了,shui2   le,10
7589,谁 是,shui2   shi4,10
8022,他们 谁,ta1 men   shui2,10
8544,你们 谁,ni3 men   shui2,9
8604,谁 也 不 知道,shui2   ye3   bu4   zhi1 dao4,9
8606,谁 呢,shui2   ne,9
8610,谁 都 没有,shui2   dou1   mei2 you3,9
9585,谁 把,shui2   ba3,8
9586,谁 的,shui2   de,8
9587,谁 知道,shui2   zhi1 dao4,8
10293,是 谁 呢,shi4   shui2   ne,8
10746,他们 谁 也,ta1 men   shui2   ye3,8
10967,似乎 谁,si4 hu1   shui2,7
10968,似乎 谁 也,si4 hu1   shui2   ye3,7
11303,谁 干,shui2   gan4,7
11698,不 知道 是 谁,bu4   zhi1 dao4   shi4   shui2,7
11841,谁 干 的,shui2   gan4   de,7
12387,有 谁 能,you3   shui2   neng2,7
13214,知道 他 是 谁,zhi1 dao4   ta1   shi4   shui2,6
13768,跟 谁,gen1   shui2,6
14043,那 是 谁,na4   shi4   shui2,6
15104,这 是 谁,zhe4   shi4   shui2,6
15150,是 谁 在,shi4   shui2   zai4,6
15266,有 谁 会,you3   shui2   hui4,6
16872,知道 谁,zhi1 dao4   shui2,5
17342,谁 也 不 会 知道,shui2   ye3   bu4   hui4   zhi1 dao4,5
17343,谁 也 没,shui2   ye3   mei2,5
17345,谁 在 那儿,shui2   zai4   na4 er2,5
17346,谁 呀,shui2   ya,5
17352,谁 来,shui2   lai2,5
17353,谁 愿意,shui2   yuan4 yi4,5
17356,谁 想,shui2   xiang3,5
18309,不管 是 谁,bu4 guan3   shi4   shui2,5
19550,是 谁 干,shi4   shui2   gan4,5
19551,是 谁 了,shi4   shui2   le,5
19556,是 谁 把,shi4   shui2   ba3,5
19559,是 谁 干 的,shi4   shui2   gan4   de,5
20605,他们 谁 也 没有,ta1 men   shui2   ye3   mei2 you3,5
