Order Number,Item,Pinyin,Frequency
811,魁地奇 比赛,kui2 di4 qi2   bi3 sai4,56
914,强 争霸赛,qiang2   zheng1 ba4 sai4,52
923,三 强 争霸赛,san1   qiang2   zheng1 ba4 sai4,52
1398,争霸赛 的,zheng1 ba4 sai4   de,38
1762,魁地奇 世界杯赛,kui2 di4 qi2   shi4 jie4 bei1 sai4,32
2124,比赛 的,bi3 sai4   de,27
2807,三 强 争霸赛 的,san1   qiang2   zheng1 ba4 sai4   de,22
2852,强 争霸赛 的,qiang2   zheng1 ba4 sai4   de,22
2940,比赛 中,bi3 sai4   zhong1,21
3058,世界杯赛 上,shi4 jie4 bei1 sai4   shang4,21
3704,的 比赛,de   bi3 sai4,18
4200,参加 比赛,can1 jia1   bi3 sai4,16
4400,场 比赛,chang3   bi3 sai4,15
4648,观看 比赛,guan1 kan4   bi3 sai4,15
5083,比赛 了,bi3 sai4   le,14
5454,参加 争霸赛,can1 jia1   zheng1 ba4 sai4,13
5771,在 魁地奇 世界杯赛,zai4   kui2 di4 qi2   shi4 jie4 bei1 sai4,13
5832,场 魁地奇 比赛,chang3   kui2 di4 qi2   bi3 sai4,12
6377,在 比赛,zai4   bi3 sai4,12
6408,魁地奇 世界杯赛 上,kui2 di4 qi2   shi4 jie4 bei1 sai4   shang4,12
6492,在 魁地奇 比赛,zai4   kui2 di4 qi2   bi3 sai4,11
7103,魁地奇 比赛 中,kui2 di4 qi2   bi3 sai4   zhong1,11
8326,赛场 上,sai4 chang3   shang4,9
8650,参加 三 强 争霸赛,can1 jia1   san1   qiang2   zheng1 ba4 sai4,9
9028,比赛 项目,bi3 sai4   xiang4 mu4,9
9973,三强 争霸赛,san1 qiang2   zheng1 ba4 sai4,8
10452,次 比赛,ci4   bi3 sai4,8
10870,在 魁地奇 世界杯赛 上,zai4   kui2 di4 qi2   shi4 jie4 bei1 sai4   shang4,8
12535,比赛 前,bi3 sai4   qian2,7
12763,在 世界杯赛,zai4   shi4 jie4 bei1 sai4,7
12764,在 世界杯赛 上,zai4   shi4 jie4 bei1 sai4   shang4,7
12978,在 魁地奇 比赛 中,zai4   kui2 di4 qi2   bi3 sai4   zhong1,7
13276,场 争霸赛,chang3   zheng1 ba4 sai4,6
13833,争霸赛 中,zheng1 ba4 sai4   zhong1,6
14328,魁地奇 比赛 的,kui2 di4 qi2   bi3 sai4   de,6
14329,魁地奇 决赛,kui2 di4 qi2   jue2 sai4,6
14608,参加 争霸赛 的,can1 jia1   zheng1 ba4 sai4   de,6
15052,是 三 强 争霸赛 的,shi4   san1   qiang2   zheng1 ba4 sai4   de,6
15053,是 三 强 争霸赛,shi4   san1   qiang2   zheng1 ba4 sai4,6
15420,一 场 魁地奇 比赛,yi1   chang3   kui2 di4 qi2   bi3 sai4,6
15448,比赛 时,bi3 sai4   shi2,6
15976,在 比赛 中,zai4   bi3 sai4   zhong1,6
16043,在 赛场,zai4   sai4 chang3,6
16164,的 魁地奇 比赛,de   kui2 di4 qi2   bi3 sai4,6
17254,第一 场 魁地奇 比赛,di4 yi1   chang3   kui2 di4 qi2   bi3 sai4,5
17665,这 场 比赛,zhe4   chang3   bi3 sai4,5
17666,这 场 争霸赛,zhe4   chang3   zheng1 ba4 sai4,5
18503,世界杯赛 的,shi4 jie4 bei1 sai4   de,5
19035,报名 参加 争霸赛,bao4 ming2   can1 jia1   zheng1 ba4 sai4,5
19436,个 比赛,ge4   bi3 sai4,5
19449,个 比赛 项目,ge4   bi3 sai4   xiang4 mu4,5
20970,了 三 强 争霸赛,le   san1   qiang2   zheng1 ba4 sai4,5
