Order Number,Item,Pinyin,Frequency
46,了 起来,le   qi3 lai2,368
364,站 了 起来,zhan4   le   qi3 lai2,95
415,站 起来,zhan4   qi3 lai2,87
417,在 一起,zai4   yi4 qi3,87
915,抬起 头,tai2 qi3   tou2,52
1137,一起 去,yi4 qi3   qu4,44
1169,起来 了,qi3 lai2   le,44
1288,想起 了,xiang3 qi3   le,41
1294,举起 魔杖,ju3 qi3   mo2 zhang4,40
1458,不 起,bu4   qi3,37
1527,起 了,qi3   le,36
1770,举起 了,ju3 qi3   le,31
1962,抬起 头 来,tai2 qi3   tou2   lai2,29
2125,笑 了 起来,xiao4   le   qi3 lai2,27
2354,举起 一,ju3 qi3   yi1,25
2446,皱起 了,zhou4 qi3   le,24
2582,皱起 了 眉头,zhou4 qi3   le   mei2 tou2,23
2647,尖叫 起来,jian1 jiao4   qi3 lai2,23
2763,皱起 眉头,zhou4 qi3   mei2 tou2,22
2823,他 举起,ta1   ju3 qi3,22
2883,眯起 眼睛,mi1 qi3   yan3 jing1,21
2888,他 想起,ta1   xiang3 qi3,21
3075,人 一起,ren2   yi4 qi3,21
3076,想 起来,xiang3   qi3 lai2,21
3120,站 起身,zhan4   qi3 shen1,20
3220,他们 一起,ta1 men   yi4 qi3,20
3226,了不起 的,liao3 bu4 qi3   de,20
3306,跳 了 起来,tiao4   le   qi3 lai2,19
3337,坐 了 起来,zuo4   le   qi3 lai2,19
3438,起来 的,qi3 lai2   de,19
3440,直 起,zhi2   qi3,19
3473,哈利 想起,ha1 li4   xiang3 qi3,19
3591,跳 起来,tiao4   qi3 lai2,18
3616,赫敏 一起,he4 min3   yi4 qi3,18
3779,起 身子,qi3   shen1 zi,17
4186,我 一起,wo3   yi4 qi3,16
4436,笑 起来,xiao4   qi3 lai2,15
4479,举起 一 只,ju3 qi3   yi1   zhi3,15
4486,他 一起,ta1   yi4 qi3,15
4867,一起 的,yi4 qi3   de,14
5094,举起 了 魔杖,ju3 qi3   le   mo2 zhang4,14
5115,响起 了,xiang3 qi3   le,14
5142,他 抬起,ta1   tai2 qi3,14
5206,和 赫敏 一起,he2   he4 min3   yi4 qi3,13
5219,站起 身,zhan4 qi3   shen1,13
5269,站起 身 来,zhan4 qi3   shen1   lai2,13
5552,在 一起 的,zai4   yi4 qi3   de,13
5593,不 起来,bu4   qi3 lai2,13
5689,他 想起 了,ta1   xiang3 qi3   le,13
5864,住 在 一起,zhu4   zai4   yi4 qi3,12
5938,举 了 起来,ju3   le   qi3 lai2,12
6047,我们 一起,wo3 men   yi4 qi3,12
6070,起 作用,qi3   zuo4 yong4,12
6096,拿起 一,na2 qi3   yi1,12
6242,他 站 起来,ta1   zhan4   qi3 lai2,12
6272,举起 手,ju3 qi3   shou3,12
6298,爬 起来,pa2   qi3 lai2,12
6397,直 起 身子,zhi2   qi3   shen1 zi,12
6481,坐 在一起,zuo4   zai4 yi4 qi3,11
6484,两 人 一起,liang3   ren2   yi4 qi3,11
6531,突然 想起,tu1 ran2   xiang3 qi3,11
6589,比 起来,bi3   qi3 lai2,11
6819,捡 起来,jian3   qi3 lai2,11
6899,和 我 一起,he2   wo3   yi4 qi3,11
6978,同学 一起,tong2 xue2   yi4 qi3,11
6999,里 响起,li3   xiang3 qi3,11
7085,很 了不起,hen3   liao3 bu4 qi3,11
7204,鼓起 勇气,gu3 qi3   yong3 qi4,10
7303,突然 响起,tu1 ran2   xiang3 qi3,10
7310,竖 了 起来,shu4   le   qi3 lai2,10
7441,藏 起来,cang2   qi3 lai2,10
7534,想 起来 了,xiang3   qi3 lai2   le,10
7654,跑 了 起来,pao3   le   qi3 lai2,10
7679,抓起 一,zhua1 qi3   yi1,10
7796,咆哮 起来,pao2 xiao1   qi3 lai2,10
7937,响起 一,xiang3 qi3   yi1,10
7941,一起 在,yi4 qi3   zai4,10
8099,高高 举起,gao1 gao1   ju3 qi3,10
8274,你 一起,ni3   yi4 qi3,9
8291,大家 一起,da4 jia1   yi4 qi3,9
8398,她 一起,ta1   yi4 qi3,9
8449,一起 上,yi4 qi3   shang4,9
8763,罗恩 一起,luo2 en1   yi4 qi3,9
8868,听 起来,ting1   qi3 lai2,9
9014,哈利 拿起,ha1 li4   na2 qi3,9
9083,清晰 起来,qing1 xi1   qi3 lai2,9
9226,他 抬起 头,ta1   tai2 qi3   tou2,9
9272,飞 了 起来,fei1   le   qi3 lai2,9
9296,地 举起,di4   ju3 qi3,9
9378,地 笑 了 起来,di4   xiao4   le   qi3 lai2,8
9418,坐 起来,zuo4   qi3 lai2,8
9775,一起 来到,yi4 qi3   lai2 dao4,8
9854,鼓起 掌 来,gu3 qi3   zhang3   lai2,8
9855,鼓起 掌,gu3 qi3   zhang3,8
10049,扬起 眉毛,yang2 qi3   mei2 mao2,8
10073,把 抓起,ba3   zhua1 qi3,8
10144,叫 起来,jiao4   qi3 lai2,8
10302,和 他 一起,he2   ta1   yi4 qi3,8
10330,和 罗恩 一起,he2   luo2 en1   yi4 qi3,8
10376,哈利 一起,ha1 li4   yi4 qi3,8
10473,他 竖起,ta1   shu4 qi3,8
10475,他 站 了 起来,ta1   zhan4   le   qi3 lai2,8
10526,举起 一 只 手,ju3 qi3   yi1   zhi3   shou3,8
10589,哭 了 起来,ku1   le   qi3 lai2,8
10600,喊 了 起来,han3   le   qi3 lai2,8
10845,一 把 抓起,yi1   ba3   zhua1 qi3,8
10876,在一起 的,zai4 yi4 qi3   de,8
10929,看 起来,kan4   qi3 lai2,8
11044,大 笑 起来,da4   xiao4   qi3 lai2,7
11057,着 站 了 起来,zhe   zhan4   le   qi3 lai2,7
11066,大笑 起来,da4 xiao4   qi3 lai2,7
11366,躲 起来,duo3   qi3 lai2,7
11468,不 起 作用,bu4   qi3   zuo4 yong4,7
11527,都 竖 了 起来,dou1   shu4   le   qi3 lai2,7
11579,强壮 起来,qiang2 zhuang4   qi3 lai2,7
11642,颤抖 起来,chan4 dou3   qi3 lai2,7
11652,学生 一起,xue2 sheng1   yi4 qi3,7
11682,微微 皱起,wei1 wei1   zhou4 qi3,7
11768,想起 了 他,xiang3 qi3   le   ta1,7
11769,想起 他,xiang3 qi3   ta1,7
11893,又 举起,you4   ju3 qi3,7
11923,个 了不起,ge4   liao3 bu4 qi3,7
11926,个 了不起 的,ge4   liao3 bu4 qi3   de,7
11945,他 举起 魔杖,ta1   ju3 qi3   mo2 zhang4,7
12058,拉 了 起来,la1   le   qi3 lai2,7
12083,叫 了 起来,jiao4   le   qi3 lai2,7
12087,捡 了 起来,jian3   le   qi3 lai2,7
12422,哈利 举起,ha1 li4   ju3 qi3,7
12494,哈利 想起 了,ha1 li4   xiang3 qi3   le,7
12507,哈利 抬起,ha1 li4   tai2 qi3,7
12508,哈利 抬起 头,ha1 li4   tai2 qi3   tou2,7
12576,哈利 眯起,ha1 li4   mi1 qi3,7
12577,哈利 眯起 眼睛,ha1 li4   mi1 qi3   yan3 jing1,7
12793,待 在 一起,dai4   zai4   yi4 qi3,7
12843,一 起,yi1   qi3,7
13058,地 抬起,di4   tai2 qi3,7
13228,声音 响起,sheng1 yin1   xiang3 qi3,6
13290,你 一起 去,ni3   yi4 qi3   qu4,6
13299,竖起 耳朵,shu4 qi3   er3 duo3,6
13689,说起 话,shuo1 qi3   hua4,6
13747,起 他,qi3   ta1,6
13748,起 了 一,qi3   le   yi1,6
13749,起 一,qi3   yi1,6
13750,起来 呢,qi3 lai2   ne,6
13751,起来 吧,qi3 lai2   ba,6
13886,女士 一起,nv3 shi4   yi4 qi3,6
13999,不 起来 了,bu4   qi3 lai2   le,6
14002,关 起来,guan1   qi3 lai2,6
14101,一起 去 参加,yi4 qi3   qu4   can1 jia1,6
14117,一起 吃,yi4 qi3   chi1,6
14134,一起 坐,yi4 qi3   zuo4,6
14166,凑 在 一起,cou4   zai4   yi4 qi3,6
14171,一起 生活,yi4 qi3   sheng1 huo2,6
14175,一起 离开,yi4 qi3   li2 kai1,6
14292,飞 起来,fei1   qi3 lai2,6
14302,你们 一起,ni3 men   yi4 qi3,6
14502,升起 一,sheng1 qi3   yi1,6
14507,说起 话 来,shuo1 qi3   hua4   lai2,6
14819,抓 起来,zhua1   qi3 lai2,6
14836,抬起 了,tai2 qi3   le,6
15482,举 起来,ju3   qi3 lai2,6
15500,哈利 站 起来,ha1 li4   zhan4   qi3 lai2,6
15521,都 笑 了 起来,dou1   xiao4   le   qi3 lai2,6
15540,一起 去 参加 舞会,yi4 qi3   qu4   can1 jia1   wu3 hui4,6
15589,响 了 起来,xiang3   le   qi3 lai2,6
15590,哈哈大笑 起来,ha1 ha1 da4 xiao4   qi3 lai2,6
15884,的 学生 一起,de   xue2 sheng1   yi4 qi3,6
16139,会 引起,hui4   yin3 qi3,6
16188,直 起身,zhi2   qi3 shen1,6
16242,真 了不起,zhen1   liao3 bu4 qi3,6
16249,地 站 了 起来,di4   zhan4   le   qi3 lai2,5
16375,真 是 了不起,zhen1   shi4   liao3 bu4 qi3,5
16508,礼堂 里 响起,li3 tang2   li3   xiang3 qi3,5
16616,突然 响起 一,tu1 ran2   xiang3 qi3   yi1,5
16815,罗恩 和 赫敏 一起,luo2 en1   he2   he4 min3   yi4 qi3,5
16878,翻腾 起来,fan1 teng2   qi3 lai2,5
16893,她 举起,ta1   ju3 qi3,5
17004,膨胀 起来,peng2 zhang4   qi3 lai2,5
17303,使 他 想起,shi3   ta1   xiang3 qi3,5
17319,使 哈利 想起,shi3   ha1 li4   xiang3 qi3,5
17324,说 起来,shuo1   qi3 lai2,5
17391,俩 一起,lia3   yi4 qi3,5
17456,起 就,qi3   jiu4,5
17457,起 攻击 事件,qi3   gong1 ji1   shi4 jian4,5
17458,起 身,qi3   shen1,5
17459,起 攻击,qi3   gong1 ji1,5
17463,起来 真,qi3 lai2   zhen1,5
17485,跟 我 一起,gen1   wo3   yi4 qi3,5
17486,跟 我们 一起,gen1   wo3 men   yi4 qi3,5
17517,做 起来,zuo4   qi3 lai2,5
17581,了不起 的 巫师,liao3 bu4 qi3   de   wu1 shi1,5
17582,了不起 的 人,liao3 bu4 qi3   de   ren2,5
17864,其他 同学 一起,qi2 ta1   tong2 xue2   yi4 qi3,5
18027,里 响起 了,li3   xiang3 qi3   le,5
18033,一起 喝,yi4 qi3   he1,5
18094,一起 来,yi4 qi3   lai2,5
18151,一起 坐 在,yi4 qi3   zuo4   zai4,5
18391,利多 站 了 起来,li4 duo1   zhan4   le   qi3 lai2,5
18433,到 一起,dao4   yi4 qi3,5
18703,我 想起,wo3   xiang3 qi3,5
18912,起 身 来,qi3   shen1   lai2,5
19030,抓起 他 的,zhua1 qi3   ta1   de,5
19031,抓起 他,zhua1 qi3   ta1,5
19037,抖动 起来,dou3 dong4   qi3 lai2,5
19046,抬 起来,tai2   qi3 lai2,5
19105,拿 起来,na2   qi3 lai2,5
19116,拿起 他,na2 qi3   ta1,5
19134,振作 起来,zhen4 zuo4   qi3 lai2,5
19202,摇晃 起来,yao2 huang4   qi3 lai2,5
19213,撒腿 跑 了 起来,sa1 tui3   pao3   le   qi3 lai2,5
19225,收 起来,shou1   qi3 lai2,5
19395,是 个 了不起,shi4   ge4   liao3 bu4 qi3,5
19397,是 个 了不起 的,shi4   ge4   liao3 bu4 qi3   de,5
19403,是 了不起,shi4   liao3 bu4 qi3,5
