Order Number,Item,Pinyin,Frequency
1669,跑 了,pao3   le,33
6155,就 跑,jiu4   pao3,12
7654,跑 了 起来,pao3   le   qi3 lai2,10
8725,跑 过,pao3   guo4,9
8727,跑 过来,pao3   guo4 lai2,9
8728,跑 过去,pao3   guo4 qu4,9
9633,小跑 着,xiao3 pao3   zhe,8
9872,快 跑,kuai4   pao3,8
10170,撒腿 就 跑,sa1 tui3   jiu4   pao3,8
11001,地 跑,di4   pao3,7
11348,跑 着,pao3   zhe,7
11467,逃跑 了,tao2 pao3   le,7
13758,跑 出来,pao3   chu1 lai2,6
14482,匆匆 跑,cong1 cong1   pao3,6
19213,撒腿 跑 了 起来,sa1 tui3   pao3   le   qi3 lai2,5
19214,撒腿 跑 了,sa1 tui3   pao3   le,5
19216,撒腿 跑,sa1 tui3   pao3,5
19451,一 溜 小跑,yi1   liu1   xiao3 pao3,5
20144,他 跑,ta1   pao3,5
20174,哈利 跑,ha1 li4   pao3,5
20202,溜 小跑,liu1   xiao3 pao3,5
20694,乱 跑,luan4   pao3,5
