Order Number,Item,Pinyin,Frequency
2157,小 路,xiao3   lu4,27
2491,路 上,lu4   shang4,24
2509,条 路,tiao2   lu4,24
3014,的 路,de   lu4,21
4761,在 女贞路,zai4   nv3 zhen1 lu4,14
5438,一 条 路,yi1   tiao2   lu4,13
6594,女贞路 的,nv3 zhen1 lu4   de,11
8391,女贞 路,nv3 zhen1   lu4,9
9217,的 小 路,de   xiao3   lu4,9
9292,的 路上,de   lu4 shang4,9
10086,小 路 上,xiao3   lu4   shang4,8
10358,通过 路威,tong1 guo4   lu4 wei1,8
12867,一 路,yi1   lu4,7
13971,迷路 了,mi2 lu4   le,6
15922,的 思路,de   si1 lu4,6
16106,的 路 上,de   lu4   shang4,6
16115,的 道路,de   dao4 lu4,6
16876,女贞路 时,nv3 zhen1 lu4   shi2,5
17507,路威 的,lu4 wei1   de,5
17700,这 条 路,zhe4   tiao2   lu4,5
