Order Number,Item,Pinyin,Frequency
185,过 的,guo4   de,150
199,见 过,jian4   guo4,144
309,过 了,guo4   le,108
484,说 过,shuo1   guo4,80
552,过 一,guo4   yi1,73
558,了 过去,le   guo4 qu4,72
688,了 过来,le   guo4 lai2,62
784,没 见 过,mei2   jian4   guo4,57
875,过 他,guo4   ta1,53
1150,从 没 见 过,cong2   mei2   jian4   guo4,44
1194,走 过,zou3   guo4,43
1286,告诉 过,gao4 su4   guo4,41
1320,见 过 的,jian4   guo4   de,40
1329,过 你,guo4   ni3,40
1481,穿 过,chuan1   guo4,37
1729,走 过去,zou3   guo4 qu4,32
1902,不 过,bu4   guo4,30
1915,不过 我,bu4 guo4   wo3,30
1954,过 的 最,guo4   de   zui4,29
1982,转过 身,zhuan3 guo4   shen1,29
2080,过 这,guo4   zhe4,28
2190,过 一 个,guo4   yi1   ge4,27
2232,过来 了,guo4 lai2   le,26
2286,过 得,guo4   de2,26
2434,过 气 来,guo4   qi4   lai2,24
2444,过 这样,guo4   zhe4 yang4,24
2506,过 气,guo4   qi4,24
2538,不过 他,bu4 guo4   ta1,24
2590,听说 过,ting1 shuo1   guo4,23
2595,过来 的,guo4 lai2   de,23
2645,转过 身 来,zhuan3 guo4   shen1   lai2,23
2649,不 过 气 来,bu4   guo4   qi4   lai2,23
2683,吃 过,chi1   guo4,23
2695,不 过 气,bu4   guo4   qi4,23
2740,告诉 过 你,gao4 su4   guo4   ni3,22
2827,过 我,guo4   wo3,22
2830,过去 了,guo4 qu4   le,22
2945,喘 不 过 气,chuan3   bu4   guo4   qi4,21
2961,喘 不 过,chuan3   bu4   guo4,21
2962,喘 不 过 气 来,chuan3   bu4   guo4   qi4   lai2,21
3060,有 过,you3   guo4,21
3190,转过 头,zhuan3 guo4   tou2,20
3248,过 她,guo4   ta1,20
3285,我 告诉 过,wo3   gao4 su4   guo4,19
3374,走 过来,zou3   guo4 lai2,19
3378,再 过,zai4   guo4,19
3462,你 说 过,ni3   shuo1   guo4,19
3498,看见 过,kan4 jian4   guo4,18
3638,转 过,zhuan3   guo4,18
3642,不过 你,bu4 guo4   ni3,18
3656,过 了 一会儿,guo4   le   yi1 hui4 er,18
3665,哈利 从 没 见 过,ha1 li4   cong2   mei2   jian4   guo4,18
3756,看 过,kan4   guo4,17
3762,地 穿过,di4   chuan1 guo4,17
3771,通过 了,tong1 guo4   le,17
3804,见 过 的 最,jian4   guo4   de   zui4,17
3913,做 过,zuo4   guo4,17
4033,想 过,xiang3   guo4,17
4225,身边 走过,shen1 bian1   zou3 guo4,16
4451,去 过,qu4   guo4,15
4532,我 告诉 过 你,wo3   gao4 su4   guo4   ni3,15
4542,我 说 过,wo3   shuo1   guo4,15
4562,用 过,yong4   guo4,15
4576,转过 脸,zhuan3 guo4   lian3,15
4628,过道 里,guo4 dao4   li3,15
4730,不过 是,bu4 guo4   shi4,15
4794,来 过,lai2   guo4,14
4850,没 见 过 的,mei2   jian4   guo4   de,14
4908,过 脸,guo4   lian3,14
5002,过 了 一,guo4   le   yi1,14
5010,过 这么,guo4   zhe4 me,14
5032,过 他们,guo4   ta1 men,14
5052,过去 的,guo4 qu4   de,14
5235,从 没 见 过 的,cong2   mei2   jian4   guo4   de,13
5288,走 过时,zou3   guo4 shi2,13
5531,转 过来,zhuan3   guo4 lai2,13
5551,过 几,guo4   ji3,13
5553,过 圣诞节,guo4   sheng4 dan4 jie2,13
5911,转过 脸 来,zhuan3 guo4   lian3   lai2,12
5920,过 这 种,guo4   zhe4   zhong3,12
5950,而 过,er2   guo4,12
6092,转 过 脸,zhuan3   guo4   lian3,12
6106,过 他 的,guo4   ta1   de,12
6156,上 过,shang4   guo4,12
6168,他们 经过,ta1 men   jing1 guo4,12
6196,过 这样 的,guo4   zhe4 yang4   de,12
6239,他 穿过,ta1   chuan1 guo4,12
6269,没有 见 过,mei2 you3   jian4   guo4,12
6344,他们 穿 过,ta1 men   chuan1   guo4,12
6646,不过 他们,bu4 guo4   ta1 men,11
6740,我 见 过,wo3   jian4   guo4,11
7061,问 过,wen4   guo4,11
