Order Number,Item,Pinyin,Frequency
2146,远 的,yuan3   de,27
2352,永远 不,yong3 yuan3   bu4,25
2731,远 的 地方,yuan3   de   di4 fang1,22
3315,全景 望远镜,quan2 jing3   wang4 yuan3 jing4,19
4057,很 远,hen3   yuan3,16
4060,远 了,yuan3   le,16
4469,永远 也,yong3 yuan3   ye3,15
6901,远处 传来,yuan3 chu4   chuan2 lai2,11
6979,永远 也 不,yong3 yuan3   ye3   bu4,11
7261,太 远,tai4   yuan3,10
8414,远远 地,yuan3 yuan3   di4,9
9032,永远 不 会,yong3 yuan3   bu4   hui4,9
9033,永远 也 不 会,yong3 yuan3   ye3   bu4   hui4,9
9737,不 远,bu4   yuan3,8
10463,步 远,bu4   yuan3,8
11460,远处 的,yuan3 chu4   de,7
11632,很 远 的,hen3   yuan3   de,7
12225,就 永远,jiu4   yong3 yuan3,7
12403,遥远 的,yao2 yuan3   de,7
12960,很 远 的 地方,hen3   yuan3   de   di4 fang1,7
14212,几 步 远,ji3   bu4   yuan3,6
15411,步 远 的 地方,bu4   yuan3   de   di4 fang1,6
15412,步 远 的,bu4   yuan3   de,6
16063,在 远处,zai4   yuan3 chu4,6
16771,太 远 了,tai4   yuan3   le,5
17736,这么 远,zhe4 me   yuan3,5
18175,几 步 远 的 地方,ji3   bu4   yuan3   de   di4 fang1,5
18176,几 步 远 的,ji3   bu4   yuan3   de,5
18955,把 全景 望远镜,ba3   quan2 jing3   wang4 yuan3 jing4,5
19473,听见 远处,ting1 jian4   yuan3 chu4,5
20023,永远 不 要,yong3 yuan3   bu4   yao4,5
