Order Number,Item,Pinyin,Frequency
207,魔法 部,mo2 fa3   bu4,140
1375,魔法部 的,mo2 fa3 bu4   de,39
2664,魔法部 部长,mo2 fa3 bu4   bu4 zhang3,23
3759,一 部分,yi1   bu4 fen4,17
5609,在 魔法 部,zai4   mo2 fa3   bu4,13
6975,部里 的,bu4 li3   de,11
7425,部 工作,bu4   gong1 zuo4,10
7890,部 的,bu4   de,10
8092,在 部里,zai4   bu4 li3,10
8105,魔法 部 的,mo2 fa3   bu4   de,10
8123,魔法 部 工作,mo2 fa3   bu4   gong1 zuo4,10
8467,决斗 俱乐部,jue2 dou4   ju4 le4 bu4,9
8901,是 魔法部,shi4   mo2 fa3 bu4,9
9165,的 一 部分,de   yi1   bu4 fen4,9
9187,的 全部,de   quan2 bu4,9
9424,大部分 时间,da4 bu4 fen4   shi2 jian1,8
9840,魔法 部长,mo2 fa3   bu4 zhang3,8
11509,部 受审,bu4   shou4 shen3,7
11674,魔法 部 受审,mo2 fa3   bu4   shou4 shen3,7
12813,的 大部分,de   da4 bu4 fen4,7
12983,在 魔法 部 工作,zai4   mo2 fa3   bu4   gong1 zuo4,7
16169,的 魔法部,de   mo2 fa3 bu4,6
16696,大部头 书,da4 bu4 tou2   shu1,5
16697,大部分 时间 都,da4 bu4 fen4   shi2 jian1   dou1,5
17545,了 魔法部,le   mo2 fa3 bu4,5
18352,魔法部 官员,mo2 fa3 bu4   guan1 yuan2,5
18489,到 魔法 部,dao4   mo2 fa3   bu4,5
19586,是 魔法 部,shi4   mo2 fa3   bu4,5
