Order Number,Item,Pinyin,Frequency
53,里 的,li3   de,347
88,手 里,shou3   li3,231
107,在 这里,zai4   zhe4 li3,206
126,在 那里,zai4   na4 li3,186
286,特里劳尼 教授,te4 li3 lao2 ni2   jiao4 shou4,113
349,嘴 里,zui3   li3,99
390,房间 里,fang2 jian1   li3,91
430,口袋 里,kou3 dai4   li3,85
483,礼堂 里,li3 tang2   li3,80
621,眼睛 里,yan3 jing1   li3,67
638,走廊 里,zou3 lang2   li3,65
722,教室 里,jiao4 shi4   li3,60
744,脑子 里,nao3 zi   li3,59
844,休息室 里,xiu1 xi1 shi4   li3,55
863,里 有,li3   you3,54
938,公共 休息室 里,gong1 gong4   xiu1 xi1 shi4   li3,51
961,学校 里,xue2 xiao4   li3,50
1011,门厅 里,men2 ting1   li3,49
1101,箱子 里,xiang1 zi   li3,46
1107,这里 的,zhe4 li3   de,45
1138,手 里 的,shou3   li3   de,44
1221,迪戈里 先生,di2 ge1 li3   xian1 sheng1,42
1273,脑海 里,nao3 hai3   li3,41
1290,在 哪里,zai4   na3 li3,40
1300,里 拿,li3   na2,40
1341,塞德里克 的,sai1 de2 li3 ke4   de,39
1367,城堡 里,cheng2 bao3   li3,39
1380,厨房 里,chu2 fang2   li3,38
1440,他 手 里,ta1   shou3   li3,37
1497,迪戈 里,di2 ge1   li3,36
1526,站在 那里,zhan4 zai4   na4 li3,36
1571,在 里面,zai4   li3 mian4,35
1610,里 掏出,li3   tao1 chu1,34
1630,手 里 拿,shou3   li3   na2,34
1638,角落 里,jiao3 luo4   li3,34
1654,这里 来,zhe4 li3   lai2,33
1660,到 这里,dao4   zhe4 li3,33
1692,里 一,li3   yi1,33
1810,里面 的,li3 mian4   de,31
1817,里 去,li3   qu4,31
1833,天 夜里,tian1   ye4 li3,31
1837,里 的 人,li3   de   ren2,30
1888,里 还,li3   hai2,30
1911,里 拿 着,li3   na2   zhe,30
1979,手 里 拿 着,shou3   li3   na2   zhe,29
2117,坐 在 那里,zuo4   zai4   na4 li3,27
2138,办公室 里,ban4 gong1 shi4   li3,27
2153,在 走廊 里,zai4   zou3 lang2   li3,27
2221,塞德里克•迪戈 里,sai1 de2 li3 ke4 • di2 ge1   li3,26
2231,声音 里,sheng1 yin1   li3,26
2290,禁林 里,jin4 lin2   li3,26
2292,在 学校 里,zai4   xue2 xiao4   li3,26
2302,镜子 里,jing4 zi   li3,26
2372,那 天 夜里,na4   tian1   ye4 li3,25
2516,里德尔 的,li3 de2 er3   de,24
2526,里 有 一,li3   you3   yi1,24
2597,耳朵 里,er3 duo3   li3,23
