Order Number,Item,Pinyin,Frequency
1214,金色 的,jin1 se4   de,42
1274,金色 飞贼,jin1 se4   fei1 zei2,41
1565,和 金妮,he2   jin1 ni1,35
1738,的 桃金娘,de   tao2 jin1 niang2,32
2002,哭泣 的 桃金娘,ku1 qi4   de   tao2 jin1 niang2,29
3151,地下 金库,di4 xia4   jin1 ku4,20
3251,金妮 的,jin1 ni1   de,20
3490,桃金娘 的,tao2 jin1 niang2   de,19
3948,的 金色,de   jin1 se4,17
4263,小惠 金区,xiao3 hui4   jin1 qu1,16
4581,只 金蛋,zhi3   jin1 dan4,15
4818,桃金娘 的 盥洗室,tao2 jin1 niang2   de   guan4 xi3 shi4,14
4935,博金 先生,bo2 jin1   xian1 sheng1,14
5071,那 只 金蛋,na4   zhi3   jin1 dan4,14
5463,金妮 说,jin1 ni1   shuo1,13
5668,乔治 和 金妮,qiao2 zhi4   he2   jin1 ni1,13
5679,哭泣 的 桃金娘 的,ku1 qi4   de   tao2 jin1 niang2   de,13
5747,的 桃金娘 的,de   tao2 jin1 niang2   de,13
5776,的 金币,de   jin1 bi4,13
6003,哭泣 的 桃金娘 的 盥洗室,ku1 qi4   de   tao2 jin1 niang2   de   guan4 xi3 shi4,12
6372,的 桃金娘 的 盥洗室,de   tao2 jin1 niang2   de   guan4 xi3 shi4,12
7443,金蛋 的,jin1 dan4   de,10
7667,把 金蛋,ba3   jin1 dan4,10
7715,金库 里,jin1 ku4   li3,10
8011,的 地下 金库,de   di4 xia4   jin1 ku4,10
8179,地下 金库 里,di4 xia4   jin1 ku4   li3,9
8341,了 金色,le   jin1 se4,9
8894,摩金 夫人,mo2 jin1   fu1 ren2,9
8936,和 金色,he2   jin1 se4,9
9304,的 金,de   jin1,9
10099,抓住 金色,zhua1 zhu4   jin1 se4,8
10100,抓住 金色 飞贼,zhua1 zhu4   jin1 se4   fei1 zei2,8
10345,个 金色,ge4   jin1 se4,8
10347,个 金色 的,ge4   jin1 se4   de,8
10888,的 金蛋,de   jin1 dan4,8
11077,着 金蛋,zhe   jin1 dan4,7
11216,袋 金币,dai4   jin1 bi4,7
11317,赫敏 和 金妮,he4 min3   he2   jin1 ni1,7
12816,的 奖金,de   jiang3 jin1,7
12839,在 小惠 金区,zai4   xiao3 hui4   jin1 qu1,7
14156,金妮 在,jin1 ni1   zai4,6
14157,金妮 和,jin1 ni1   he2,6
14158,金妮 也,jin1 ni1   ye3,6
14159,金色 的 盘子,jin1 se4   de   pan2 zi,6
14664,寻找 金色,xun2 zhao3   jin1 se4,6
14975,号 地下 金库,hao4   di4 xia4   jin1 ku4,6
15230,个 金加隆,ge4   jin1 jia1 long2,6
16132,的 金发,de   jin1 fa4,6
16256,伯莎•乔金斯 的,bo2 sha1 • qiao2 jin1 si1   de,5
17425,寻找 金色 飞贼,xun2 zhao3   jin1 se4   fei1 zei2,5
17455,了 金蛋,le   jin1 dan4,5
17471,了 金色 飞贼,le   jin1 se4   fei1 zei2,5
18096,金色 的 东西,jin1 se4   de   dong1 xi1,5
19003,把 金妮,ba3   jin1 ni1,5
19576,是 金妮,shi4   jin1 ni1,5
19694,和 金色 的,he2   jin1 se4   de,5
19890,桃金娘 说,tao2 jin1 niang2   shuo1,5
19892,桃金娘 就,tao2 jin1 niang2   jiu4,5
20548,的 地下 金库 里,de   di4 xia4   jin1 ku4   li3,5
20725,一 个 金色,yi1   ge4   jin1 se4,5
20853,一 个 金色 的,yi1   ge4   jin1 se4   de,5
20902,的 金光,de   jin1 guang1,5
