Order Number,Item,Pinyin,Frequency
4560,错 了,cuo4   le,15
6293,的 错,de   cuo4,12
6435,弄错 了,nong4 cuo4   le,12
8070,的 错误,de   cuo4 wu4,10
8077,得 不错,de2   bu4 cuo4,10
8487,很 不错,hen3   bu4 cuo4,9
10045,错过 了,cuo4 guo4   le,8
10939,不错 的,bu4 cuo4   de,8
14167,错乱 了,cuo4 luan4   le,6
15105,是 弄错 了,shi4   nong4 cuo4   le,6
15106,是 弄错,shi4   nong4 cuo4,6
15626,他 错 了,ta1   cuo4   le,6
15627,他 错,ta1   cuo4,6
16109,的 过错,de   guo4 cuo4,6
16726,精神 错乱 了,jing1 shen2   cuo4 luan4   le,5
16727,精神 错乱,jing1 shen2   cuo4 luan4,5
