Order Number,Item,Pinyin,Frequency
778,闪闪 发亮,shan3 shan3   fa1 liang4,58
913,闪 着,shan3   zhe,52
1501,闪闪 发光,shan3 shan3   fa1 guang1,36
1567,闪烁 着,shan3 shuo4   zhe,35
2160,闪闪 的,shan3 shan3   de,27
2942,闪闪 发亮 的,shan3 shan3   fa1 liang4   de,21
2968,里 闪,li3   shan3,21
4309,里 闪 着,li3   shan3   zhe,16
5191,一 闪,yi1   shan3,13
5236,道 闪电,dao4   shan3 dian4,13
5519,闪烁 的,shan3 shuo4   de,13
5816,眼睛 里 闪,yan3 jing1   li3   shan3,12
5953,荧光 闪烁,ying2 guang1   shan3 shuo4,12
6243,下 闪闪,xia4   shan3 shan3,12
6445,眼睛 里 闪 着,yan3 jing1   li3   shan3   zhe,11
6462,眼睛 闪闪,yan3 jing1   shan3 shan3,11
6824,闪闪 发光 的,shan3 shan3   fa1 guang1   de,11
7444,银光 闪闪 的,yin2 guang1   shan3 shan3   de,10
7967,银光 闪闪,yin2 guang1   shan3 shan3,10
7986,闪 了,shan3   le,10
7988,闪光 的,shan3 guang1   de,10
9173,闪 过,shan3   guo4,9
9179,闪动 着,shan3 dong4   zhe,9
10055,了 闪闪,le   shan3 shan3,8
10684,闪电 形,shan3 dian4   xing2,8
10685,闪电 形 伤疤,shan3 dian4   xing2   shang1 ba1,8
10932,一 道 闪电,yi1   dao4   shan3 dian4,8
10989,着 闪闪,zhe   shan3 shan3,7
12525,下 闪闪 发亮,xia4   shan3 shan3   fa1 liang4,7
12748,闪 着 光,shan3   zhe   guang1,7
12749,闪亮 的,shan3 liang4   de,7
13008,的 闪闪,de   shan3 shan3,7
13223,眼睛 闪闪 发亮,yan3 jing1   shan3 shan3   fa1 liang4,6
14016,亮闪闪 的,liang4 shan3 shan3   de,6
14183,闪过 一,shan3 guo4   yi1,6
15041,星光 闪烁,xing1 guang1   shan3 shuo4,6
16144,的 闪电,de   shan3 dian4,6
16145,的 闪光,de   shan3 guang1,6
16292,眼睛 闪闪 发光,yan3 jing1   shan3 shan3   fa1 guang1,5
17530,躲躲 闪闪,duo3 duo3   shan3 shan3,5
17813,道 闪电 形 伤疤,dao4   shan3 dian4   xing2   shang1 ba1,5
17814,道 闪电 形,dao4   shan3 dian4   xing2,5
18075,里 闪烁,li3   shan3 shuo4,5
18139,闪闪 不,shan3 shan3   bu4,5
18140,闪耀 着,shan3 yao4   zhe,5
18141,闪 过 一,shan3   guo4   yi1,5
18144,闪闪 还,shan3 shan3   hai2,5
19369,星光 闪烁 的,xing1 guang1   shan3 shuo4   de,5
19555,上 闪闪,shang4   shan3 shan3,5
19590,上 闪闪 发亮,shang4   shan3 shan3   fa1 liang4,5
19591,上 闪烁,shang4   shan3 shuo4,5
19854,中 闪闪 发亮,zhong1   shan3 shan3   fa1 liang4,5
19855,中 闪闪,zhong1   shan3 shan3,5
19982,下 闪 着,xia4   shan3   zhe,5
20005,下 闪闪 发光,xia4   shan3 shan3   fa1 guang1,5
20006,下 闪,xia4   shan3,5
