Order Number,Item,Pinyin,Frequency
122,一 阵,yi1   zhen4,187
2875,传来 一 阵,chuan2 lai2   yi1   zhen4,22
3786,是 一 阵,shi4   yi1   zhen4,17
5410,感到 一 阵,gan3 dao4   yi1   zhen4,13
5775,了 一 阵,le   yi1   zhen4,13
7454,随着 一 阵,sui2 zhe   yi1   zhen4,10
7618,又 是 一 阵,you4   shi4   yi1   zhen4,10
7949,爆发 出 一 阵,bao4 fa1   chu1   yi1   zhen4,10
8046,出 一 阵,chu1   yi1   zhen4,10
11000,一 阵阵,yi1   zhen4 zhen4,7
11037,突然 传来 一 阵,tu1 ran2   chuan2 lai2   yi1   zhen4,7
13135,一 阵 低沉,yi1   zhen4   di1 chen2,6
13206,一 阵 大,yi1   zhen4   da4,6
13284,突然 一 阵,tu1 ran2   yi1   zhen4,6
13328,一 阵 刺耳,yi1   zhen4   ci4 er3,6
13359,一 阵 剧痛,yi1   zhen4   ju4 tong4,6
14206,阵 低沉,zhen4   di1 chen2,6
14208,阵 大,zhen4   da4,6
14728,发出 一 阵,fa1 chu1   yi1   zhen4,6
15736,的 一 阵,de   yi1   zhen4,6
15817,阵 刺耳,zhen4   ci4 er3,6
15822,阵 剧痛,zhen4   ju4 tong4,6
16434,一 阵 响亮,yi1   zhen4   xiang3 liang4,5
16435,一 阵 刺耳 的,yi1   zhen4   ci4 er3   de,5
16459,一 阵 大 笑,yi1   zhen4   da4   xiao4,5
18169,阵 刺耳 的,zhen4   ci4 er3   de,5
18172,阵 大 笑,zhen4   da4   xiao4,5
18174,阵 响亮,zhen4   xiang3 liang4,5
19456,听见 一 阵,ting1 jian4   yi1   zhen4,5
