Order Number,Item,Pinyin,Frequency
1470,露出 了,lu4 chu1   le,37
1773,露出 一,lu4 chu1   yi1,31
3403,上 露出,shang4   lu4 chu1,19
3574,脸 上 露出,lian3   shang4   lu4 chu1,18
7294,脸上 露出,lian3 shang4   lu4 chu1,10
10776,露出 一 个,lu4 chu1   yi1   ge4,8
10789,露出 了 笑容,lu4 chu1   le   xiao4 rong2,8
14254,露出 了 微笑,lu4 chu1   le   wei1 xiao4,6
14255,露出 了 一,lu4 chu1   le   yi1,6
14700,又 露出,you4   lu4 chu1,6
16981,脸 上 露出 了,lian3   shang4   lu4 chu1   le,5
16990,脸上 又 露出,lian3 shang4   you4   lu4 chu1,5
18219,露出 一 丝,lu4 chu1   yi1   si1,5
19589,上 露出 一,shang4   lu4 chu1   yi1,5
19608,暴露 身份,bao4 lu4   shen1 fen4,5
19655,上 露出 了,shang4   lu4 chu1   le,5
