Order Number,Item,Pinyin,Frequency
922,后面 的,hou4 mian4   de,52
968,外面 的,wai4 mian4   de,50
1093,的 面孔,de   mian4 kong3,46
1131,下面 的,xia4 mian4   de,45
1292,上面 的,shang4 mian4   de,40
1299,地面 上,di4 mian4   shang4,40
1441,在 上面,zai4   shang4 mian4,37
1571,在 里面,zai4   li3 mian4,35
1585,在 前面,zai4   qian2 mian4,35
1647,前面 的,qian2 mian4   de,34
1671,面前 的,mian4 qian2   de,33
1673,在 外面,zai4   wai4 mian4,33
1810,里面 的,li3 mian4   de,31
1887,在 后面,zai4   hou4 mian4,30
1938,跟在 后面,gen1 zai4   hou4 mian4,29
2247,在 下面,zai4   xia4 mian4,26
2257,他 面前,ta1   mian4 qian2,26
2374,的 面颊,de   mian4 jia2,25
2401,的 地面,de   di4 mian4,25
3023,他们 面前,ta1 men   mian4 qian2,21
3048,的 面,de   mian4,21
3533,里面 是,li3 mian4   shi4,18
3571,对面 的,dui4 mian4   de,18
3838,那 上面,na4   shang4 mian4,17
3862,面对 着,mian4 dui4   zhe,17
3896,从 里面,cong2   li3 mian4,17
3972,上面 有,shang4 mian4   you3,17
4650,在 他 面前,zai4   ta1   mian4 qian2,15
5133,在 他们 面前,zai4   ta1 men   mian4 qian2,14
5307,那 里面,na4   li3 mian4,13
5418,的 地面 上,de   di4 mian4   shang4,13
5598,一 方面,yi1   fang1 mian4,13
5608,上面 是,shang4 mian4   shi4,13
5611,来到 外面,lai2 dao4   wai4 mian4,13
5667,哈利 面前,ha1 li4   mian4 qian2,13
5855,上面 写,shang4 mian4   xie3,12
6139,面 镜子,mian4   jing4 zi,12
6336,的 后面,de   hou4 mian4,12
6379,面颊 上,mian4 jia2   shang4,12
6466,在 外面 的,zai4   wai4 mian4   de,11
6500,一 面,yi1   mian4,11
6510,离 地面,li2   di4 mian4,11
6554,桌子 后面,zhuo1 zi   hou4 mian4,11
6602,脖子 后面,bo2 zi   hou4 mian4,11
6691,从 四面八方,cong2   si4 mian4 ba1 fang1,11
6806,他 后面,ta1   hou4 mian4,11
6945,上面 有 一,shang4 mian4   you3   yi1,11
7005,下面 是,xia4 mian4   shi4,11
7498,到 下面,dao4   xia4 mian4,10
7506,到 地面,dao4   di4 mian4,10
7670,另 一 方面,ling4   yi1   fang1 mian4,10
8188,着 地面,zhe   di4 mian4,9
8472,里面 是 一,li3 mian4   shi4   yi1,9
8501,面对 的,mian4 dui4   de,9
8566,从 上面,cong2   shang4 mian4,9
8850,后面 传来,hou4 mian4   chuan2 lai2,9
8852,后面 跟,hou4 mian4   gen1,9
9124,里面 有,li3 mian4   you3,9
9182,在 下面 的,zai4   xia4 mian4   de,9
9212,在 地面,zai4   di4 mian4,9
9213,在 地面 上,zai4   di4 mian4   shang4,9
9391,地 跟在 后面,di4   gen1 zai4   hou4 mian4,8
9394,着 下面,zhe   xia4 mian4,8
9521,了 地面,le   di4 mian4,8
9810,面色 苍白,mian4 se4   cang1 bai2,8
10235,后面 有,hou4 mian4   you3,8
10237,后面 跟 着,hou4 mian4   gen1   zhe,8
10424,他 的 面颊,ta1   de   mian4 jia2,8
10435,桌子 后面 的,zhuo1 zi   hou4 mian4   de,8
10606,他 面前 的,ta1   mian4 qian2   de,8
10627,里面 的 东西,li3 mian4   de   dong1 xi1,8
10659,镜子 前面,jing4 zi   qian2 mian4,8
10667,他们 前面,ta1 men   qian2 mian4,8
10820,在 离 地面,zai4   li2   di4 mian4,8
10824,人 面前,ren2   mian4 qian2,8
11020,外面 的 场地,wai4 mian4   de   chang3 di4,7
11025,体面 的,ti3 mian4   de,7
11225,了 外面,le   wai4 mian4,7
11442,她 后面,ta1   hou4 mian4,7
11574,镜片 后面,jing4 pian4   hou4 mian4,7
11594,往 里面,wang3   li3 mian4,7
11748,前面 一,qian2 mian4   yi1,7
11751,前面 有,qian2 mian4   you3,7
11771,从 后面,cong2   hou4 mian4,7
12174,方面 的,fang1 mian4   de,7
12215,后面 的 一,hou4 mian4   de   yi1,7
12275,这 里面,zhe4   li3 mian4,7
12431,上面 写 着,shang4 mian4   xie3   zhe,7
12475,哈利 对面,ha1 li4   dui4 mian4,7
12744,他们 后面,ta1 men   hou4 mian4,7
12780,在 他们 前面,zai4   ta1 men   qian2 mian4,7
12859,他们 面前 的,ta1 men   mian4 qian2   de,7
12898,在 湖面,zai4   hu2 mian4,7
13014,的 面前,de   mian4 qian2,7
13255,外面 的 场地 上,wai4 mian4   de   chang3 di4   shang4,6
13365,你 后面,ni3   hou4 mian4,6
13370,着 面前,zhe   mian4 qian2,6
13735,封面 上,feng1 mian4   shang4,6
14057,那 面,na4   mian4,6
14150,里面 装,li3 mian4   zhuang1,6
14164,张 面孔,zhang1   mian4 kong3,6
14214,降落 到 地面,jiang4 luo4   dao4   di4 mian4,6
14264,面色 苍白 的,mian4 se4   cang1 bai2   de,6
14325,要 面对,yao4   mian4 dui4,6
14797,他 前面,ta1   qian2 mian4,6
14809,把 里面,ba3   li3 mian4,6
14810,把 里面 的,ba3   li3 mian4   de,6
15198,最 上面,zui4   shang4 mian4,6
15323,哈利 前面,ha1 li4   qian2 mian4,6
15329,上面 是 一,shang4 mian4   shi4   yi1,6
15338,来到 外面 的,lai2 dao4   wai4 mian4   de,6
15352,上面 有 一 个,shang4 mian4   you3   yi1   ge4,6
15359,上面 的 字,shang4 mian4   de   zi4,6
15364,他 的 面前,ta1   de   mian4 qian2,6
15372,桌面 上,zhuo1 mian4   shang4,6
15379,楼梯 下面,lou2 ti1   xia4 mian4,6
15658,里面 都,li3 mian4   dou1,6
15741,的 下面,de   xia4 mian4,6
15830,在 前面 的,zai4   qian2 mian4   de,6
15858,在 哈利 面前,zai4   ha1 li4   mian4 qian2,6
15973,面 的,mian4   de,6
16004,仰面 躺,yang3 mian4   tang3,6
16348,地面 几,di4 mian4   ji3,5
16419,着 面孔,zhe   mian4 kong3,5
16528,外面 漆黑,wai4 mian4   qi1 hei1,5
16536,离 地面 几,li2   di4 mian4   ji3,5
17442,走到 外面,zou3 dao4   wai4 mian4,5
17595,就 在 前面,jiu4   zai4   qian2 mian4,5
17725,这 面 镜子,zhe4   mian4   jing4 zi,5
17726,这 面,zhe4   mian4,5
17904,那 面 镜子,na4   mian4   jing4 zi,5
18081,里面 关 着,li3 mian4   guan1   zhe,5
18082,里面 关,li3 mian4   guan1,5
18240,面临 的,mian4 lin2   de,5
18397,利多 面前,li4 duo1   mian4 qian2,5
18438,到 下面 的,dao4   xia4 mian4   de,5
18527,前面 是,qian2 mian4   shi4,5
19231,他 对面,ta1   dui4 mian4,5
19248,教室 后面,jiao4 shi4   hou4 mian4,5
19252,教工 桌子 后面 的,jiao4 gong1   zhuo1 zi   hou4 mian4   de,5
19254,教工 桌子 后面,jiao4 gong1   zhuo1 zi   hou4 mian4,5
19362,后面 传来 一,hou4 mian4   chuan2 lai2   yi1,5
19367,后面 的 墙 上,hou4 mian4   de   qiang2   shang4,5
19368,后面 的 墙,hou4 mian4   de   qiang2,5
19370,后面 紧跟,hou4 mian4   jin3 gen1,5
19372,后面 紧跟 着,hou4 mian4   jin3 gen1   zhe,5
19373,后面 的 那,hou4 mian4   de   na4,5
19755,朝 下面,chao2   xia4 mian4,5
19769,朝 里面,chao2   li3 mian4,5
19829,上面 放 着,shang4 mian4   fang4   zhe,5
19830,上面 放,shang4 mian4   fang4,5
19831,上面 印,shang4 mian4   yin4,5
19888,上面 还,shang4 mian4   hai2,5
20022,水面 上,shui3 mian4   shang4,5
20200,湖面 上,hu2 mian4   shang4,5
20241,烤 面饼,kao3   mian4 bing3,5
20242,烤 面包,kao3   mian4 bao1,5
20284,片 面包,pian4   mian4 bao1,5
20462,在 上面 的,zai4   shang4 mian4   de,5
20690,的 水面,de   shui3 mian4,5
20693,在 湖面 上,zai4   hu2 mian4   shang4,5
20699,的 湖面,de   hu2 mian4,5
20859,在 面前,zai4   mian4 qian2,5
21043,看见 前面,kan4 jian4   qian2 mian4,5
