Order Number,Item,Pinyin,Frequency
10,的 声音,de   sheng1 yin1,596
215,声音 说,sheng1 yin1   shuo1,136
460,的 声音 说,de   sheng1 yin1   shuo1,82
579,压低 声音,ya1 di1   sheng1 yin1,70
710,个 声音,ge4   sheng1 yin1,61
1024,他 的 声音,ta1   de   sheng1 yin1,48
1170,声音 在,sheng1 yin1   zai4,44
1726,一 个 声音,yi1   ge4   sheng1 yin1,32
1935,声音 说道,sheng1 yin1   shuo1 dao4,29
2005,的 声音 在,de   sheng1 yin1   zai4,29
2231,声音 里,sheng1 yin1   li3,26
2293,压低 声音 说,ya1 di1   sheng1 yin1   shuo1,26
2686,声音 很,sheng1 yin1   hen3,23
2898,声音 问,sheng1 yin1   wen4,21
3540,那 个 声音,na4   ge4   sheng1 yin1,18
3858,这 声音,zhe4   sheng1 yin1,17
3953,的 声音 说道,de   sheng1 yin1   shuo1 dao4,17
4104,那 声音,na4   sheng1 yin1,16
4416,声音 从,sheng1 yin1   cong2,15
4417,声音 又,sheng1 yin1   you4,15
4420,声音 嘶哑,sheng1 yin1   si1 ya3,15
5006,他 声音,ta1   sheng1 yin1,14
5058,声音 嘶哑 地,sheng1 yin1   si1 ya3   di4,14
5238,声音 嘶哑 地 说,sheng1 yin1   si1 ya3   di4   shuo1,13
5241,声音 对,sheng1 yin1   dui4,13
5478,发出 声音,fa1 chu1   sheng1 yin1,13
5487,把 声音,ba3   sheng1 yin1,13
5988,她 的 声音,ta1   de   sheng1 yin1,12
5996,刺耳 的 声音,ci4 er3   de   sheng1 yin1,12
6324,冰冷 的 声音,bing1 leng3   de   sheng1 yin1,12
6346,的 声音 从,de   sheng1 yin1   cong2,12
6505,声音 颤抖,sheng1 yin1   chan4 dou3,11
6529,了 声音,le   sheng1 yin1,11
7278,声音 有些,sheng1 yin1   you3 xie1,10
7636,小 声音,xiao3   sheng1 yin1,10
7686,个 声音 说,ge4   sheng1 yin1   shuo1,10
8174,声音 突然,sheng1 yin1   tu1 ran2,9
8243,声音 更,sheng1 yin1   geng4,9
8253,低沉 的 声音,di1 chen2   de   sheng1 yin1,9
8616,压低 声音 问,ya1 di1   sheng1 yin1   wen4,9
9205,的 声音 问,de   sheng1 yin1   wen4,9
9206,的 声音 里,de   sheng1 yin1   li3,9
9397,声音 都,sheng1 yin1   dou1,8
9486,声音 粗哑 地,sheng1 yin1   cu1 ya3   di4,8
9487,声音 的,sheng1 yin1   de,8
9488,声音 粗哑,sheng1 yin1   cu1 ya3,8
9490,声音 说话,sheng1 yin1   shuo1 hua4,8
9976,压低 声音 对,ya1 di1   sheng1 yin1   dui4,8
10194,教授 的 声音,jiao4 shou4   de   sheng1 yin1,8
10406,哈利 压低 声音,ha1 li4   ya1 di1   sheng1 yin1,8
10494,沙哑 的 声音,sha1 ya3   de   sheng1 yin1,8
10732,的 声音 又,de   sheng1 yin1   you4,8
10733,的 声音 更,de   sheng1 yin1   geng4,8
10837,颤抖 的 声音,chan4 dou3   de   sheng1 yin1,8
11005,声音 显得,sheng1 yin1   xian3 de,7
11008,声音 是,sheng1 yin1   shi4,7
11062,第二 个 声音,di4 er4   ge4   sheng1 yin1,7
11113,罗恩 压低 声音,luo2 en1   ya1 di1   sheng1 yin1,7
11122,声音 了,sheng1 yin1   le,7
11133,声音 很 低,sheng1 yin1   hen3   di1,7
11150,声音 轻轻,sheng1 yin1   qing1 qing1,7
11295,说话 的 声音,shuo1 hua4   de   sheng1 yin1,7
11537,般 的 声音,ban1   de   sheng1 yin1,7
11590,人 的 声音,ren2   de   sheng1 yin1,7
12057,个 声音 在,ge4   sheng1 yin1   zai4,7
12609,海格 声音,hai3 ge2   sheng1 yin1,7
12659,熟悉 的 声音,shu2 xi1   de   sheng1 yin1,7
12679,冷酷 的 声音,leng3 ku4   de   sheng1 yin1,7
12803,的 声音 了,de   sheng1 yin1   le,7
12805,的 声音 很,de   sheng1 yin1   hen3,7
12806,的 声音 突然,de   sheng1 yin1   tu1 ran2,7
13136,着 声音,zhe   sheng1 yin1,6
13220,声音 不,sheng1 yin1   bu4,6
13224,声音 低沉,sheng1 yin1   di1 chen2,6
13225,声音 压,sheng1 yin1   ya1,6
13226,声音 压 得,sheng1 yin1   ya1   de2,6
13228,声音 响起,sheng1 yin1   xiang3 qi3,6
13230,声音 喊道,sheng1 yin1   han3 dao4,6
13243,声音 渐渐,sheng1 yin1   jian4 jian4,6
13246,声音 粗哑 地 说,sheng1 yin1   cu1 ya3   di4   shuo1,6
13256,福吉 的 声音,fu2 ji2   de   sheng1 yin1,6
13435,女人 的 声音,nv3 ren2   de   sheng1 yin1,6
13775,一点儿 声音,yi4 dian3 er2   sheng1 yin1,6
13858,罗恩 的 声音,luo2 en1   de   sheng1 yin1,6
14012,那 个 声音 说,na4   ge4   sheng1 yin1   shuo1,6
14021,那 冰冷 的 声音,na4   bing1 leng3   de   sheng1 yin1,6
14759,把 声音 压,ba3   sheng1 yin1   ya1,6
14760,把 声音 压 得,ba3   sheng1 yin1   ya1   de2,6
14881,挤出 声音,ji3 chu1   sheng1 yin1,6
15889,的 小 声音,de   xiao3   sheng1 yin1,6
16466,声音 也,sheng1 yin1   ye3,5
16474,声音 和,sheng1 yin1   he2,5
16480,声音 对 哈利 说,sheng1 yin1   dui4   ha1 li4   shuo1,5
16482,声音 就,sheng1 yin1   jiu4,5
16483,声音 对 哈利,sheng1 yin1   dui4   ha1 li4,5
16484,声音 微微,sheng1 yin1   wei1 wei1,5
16485,声音 很 轻,sheng1 yin1   hen3   qing1,5
16486,声音 很 大,sheng1 yin1   hen3   da4,5
16497,声音 盖,sheng1 yin1   gai4,5
16503,声音 盖 过,sheng1 yin1   gai4   guo4,5
16504,声音 更 响,sheng1 yin1   geng4   xiang3,5
16507,声音 还,sheng1 yin1   hai2,5
16511,声音 颤抖 地,sheng1 yin1   chan4 dou3   di4,5
16512,声音 轻轻 地,sheng1 yin1   qing1 qing1   di4,5
16555,低沉 的 声音 说,di1 chen2   de   sheng1 yin1   shuo1,5
17537,尖厉 的 声音,jian1 li4   de   sheng1 yin1,5
18277,颤抖 的 声音 说,chan4 dou3   de   sheng1 yin1   shuo1,5
18407,什么 声音,shen2 me   sheng1 yin1,5
18741,一 个 声音 在,yi1   ge4   sheng1 yin1   zai4,5
19006,他 压低 声音,ta1   ya1 di1   sheng1 yin1,5
19138,个 女人 的 声音,ge4   nv3 ren2   de   sheng1 yin1,5
19297,斯内普 的 声音,si1 nei4 pu3   de   sheng1 yin1,5
19483,个 熟悉 的 声音,ge4   shu2 xi1   de   sheng1 yin1,5
19704,咔哒 咔哒 的 声音,ka1 da2   ka1 da2   de   sheng1 yin1,5
19717,咔哒 的 声音,ka1 da2   de   sheng1 yin1,5
19744,他 的 声音 很,ta1   de   sheng1 yin1   hen3,5
19745,他 的 声音 在,ta1   de   sheng1 yin1   zai4,5
19883,哈利 声音,ha1 li4   sheng1 yin1,5
20349,嘶哑 着 声音,si1 ya3   zhe   sheng1 yin1,5
20379,用 颤抖 的 声音,yong4   chan4 dou3   de   sheng1 yin1,5
20555,的 声音 更 响,de   sheng1 yin1   geng4   xiang3,5
20556,的 声音 喊道,de   sheng1 yin1   han3 dao4,5
20559,他们 的 声音,ta1 men   de   sheng1 yin1,5
