Order Number,Item,Pinyin,Frequency
811,魁地奇 比赛,kui2 di4 qi2   bi3 sai4,56
1232,的 魁地奇,de   kui2 di4 qi2,42
1717,在 魁地奇,zai4   kui2 di4 qi2,32
1762,魁地奇 世界杯赛,kui2 di4 qi2   shi4 jie4 bei1 sai4,32
2708,魁地奇 球场,kui2 di4 qi2   qiu2 chang3,23
2716,魁地奇 球队,kui2 di4 qi2   qiu2 dui4,23
5383,场 魁地奇,chang3   kui2 di4 qi2,13
5771,在 魁地奇 世界杯赛,zai4   kui2 di4 qi2   shi4 jie4 bei1 sai4,13
5832,场 魁地奇 比赛,chang3   kui2 di4 qi2   bi3 sai4,12
6408,魁地奇 世界杯赛 上,kui2 di4 qi2   shi4 jie4 bei1 sai4   shang4,12
6410,魁地奇 球,kui2 di4 qi2   qiu2,12
6492,在 魁地奇 比赛,zai4   kui2 di4 qi2   bi3 sai4,11
7103,魁地奇 比赛 中,kui2 di4 qi2   bi3 sai4   zhong1,11
8698,了 魁地奇,le   kui2 di4 qi2,9
9305,魁地奇 训练,kui2 di4 qi2   xun4 lian4,9
9313,的 魁地奇 球队,de   kui2 di4 qi2   qiu2 dui4,9
10301,是 魁地奇,shi4   kui2 di4 qi2,8
10870,在 魁地奇 世界杯赛 上,zai4   kui2 di4 qi2   shi4 jie4 bei1 sai4   shang4,8
11660,魁地奇 球员,kui2 di4 qi2   qiu2 yuan2,7
12531,一 场 魁地奇,yi1   chang3   kui2 di4 qi2,7
12978,在 魁地奇 比赛 中,zai4   kui2 di4 qi2   bi3 sai4   zhong1,7
12991,魁地奇 球队 的,kui2 di4 qi2   qiu2 dui4   de,7
13024,的 魁地奇 球场,de   kui2 di4 qi2   qiu2 chang3,7
13606,章 魁地奇,zhang1   kui2 di4 qi2,6
14328,魁地奇 比赛 的,kui2 di4 qi2   bi3 sai4   de,6
14329,魁地奇 决赛,kui2 di4 qi2   jue2 sai4,6
14718,打 魁地奇,da3   kui2 di4 qi2,6
15420,一 场 魁地奇 比赛,yi1   chang3   kui2 di4 qi2   bi3 sai4,6
16164,的 魁地奇 比赛,de   kui2 di4 qi2   bi3 sai4,6
16675,第一 场 魁地奇,di4 yi1   chang3   kui2 di4 qi2,5
17206,观看 魁地奇,guan1 kan4   kui2 di4 qi2,5
17254,第一 场 魁地奇 比赛,di4 yi1   chang3   kui2 di4 qi2   bi3 sai4,5
17589,过 魁地奇,guo4   kui2 di4 qi2,5
18320,魁地奇 精品 店,kui2 di4 qi2   jing1 pin3   dian4,5
18321,魁地奇 精品,kui2 di4 qi2   jing1 pin3,5
20926,的 魁地奇 球,de   kui2 di4 qi2   qiu2,5
