Order Number,Item,Pinyin,Frequency
35,麦格 教授,mai4 ge2   jiao4 shou4,405
929,麦格 教授 说,mai4 ge2   jiao4 shou4   shuo1,51
2429,麦格 教授 的,mai4 ge2   jiao4 shou4   de,25
5057,和 麦格,he2   mai4 ge2,14
6912,和 麦格 教授,he2   mai4 ge2   jiao4 shou4,11
7183,麦格 教授 和,mai4 ge2   jiao4 shou4   he2,11
7683,了 麦格,le   mai4 ge2,10
7697,了 麦格 教授,le   mai4 ge2   jiao4 shou4,10
8522,麦格 教授 在,mai4 ge2   jiao4 shou4   zai4,9
10919,麦格 教授 把,mai4 ge2   jiao4 shou4   ba3,8
11679,麦格 教授 用,mai4 ge2   jiao4 shou4   yong4,7
12984,在 麦格,zai4   mai4 ge2,7
12985,在 麦格 教授,zai4   mai4 ge2   jiao4 shou4,7
13183,着 麦格,zhe   mai4 ge2,6
13184,着 麦格 教授,zhe   mai4 ge2   jiao4 shou4,6
14350,麦格 教授 严厉 地,mai4 ge2   jiao4 shou4   yan2 li4   di4,6
14351,麦格 教授 从,mai4 ge2   jiao4 shou4   cong2,6
14352,麦格 教授 严厉,mai4 ge2   jiao4 shou4   yan2 li4,6
17496,跟 麦格 教授,gen1   mai4 ge2   jiao4 shou4,5
17497,跟 麦格,gen1   mai4 ge2,5
18367,麦格 教授 对,mai4 ge2   jiao4 shou4   dui4,5
18368,麦格 教授 又,mai4 ge2   jiao4 shou4   you4,5
19582,是 麦格 教授,shi4   mai4 ge2   jiao4 shou4,5
19583,是 麦格,shi4   mai4 ge2,5
