Order Number,Item,Pinyin,Frequency
746,的 鼻子,de   bi2 zi,59
6438,鼻子 上,bi2 zi   shang4,12
7172,的 鼻孔,de   bi2 kong3,11
9351,鼻子 底下,bi2 zi   di3 xia4,9
9445,着 鼻子,zhe   bi2 zi,8
9778,长 鼻子,zhang3   bi2 zi,8
9857,鼻子 里,bi2 zi   li3,8
10427,他 的 鼻子,ta1   de   bi2 zi,8
12683,猪 鼻子,zhu1   bi2 zi,7
13308,大 鼻子,da4   bi2 zi,6
15860,的 大 鼻子,de   da4   bi2 zi,6
18386,鼻子 也,bi2 zi   ye3,5
18387,鼻尖 上,bi2 jian1   shang4,5
19215,擤 鼻子,xing3   bi2 zi,5
19810,条 鼻涕虫,tiao2   bi2 ti4 chong2,5
20946,的 鼻子 底下,de   bi2 zi   di3 xia4,5
