Order Number,Item,Pinyin,Frequency
1381,之间 的,zhi1 jian1   de,38
2658,片刻 之后,pian4 ke4   zhi1 hou4,23
3971,之类 的,zhi1 lei4   de,17
5371,之后 就,zhi1 hou4   jiu4,13
9747,人 之间,ren2   zhi1 jian1,8
13075,了 之后,le   zhi1 hou4,7
13602,站台 之间,zhan4 tai2   zhi1 jian1,6
13779,小时 之后,xiao3 shi2   zhi1 hou4,6
15530,之 光,zhi1   guang1,6
15536,之 处,zhi1   chu4,6
15538,之前 就,zhi1 qian2   jiu4,6
15554,之前 的,zhi1 qian2   de,6
16605,突然 之间,tu1 ran2   zhi1 jian1,5
16645,站台 之间 的,zhan4 tai2   zhi1 jian1   de,5
16650,站台 之间 的 隔墙,zhan4 tai2   zhi1 jian1   de   ge2 qiang2,5
16663,第10 站台 之间 的 隔墙,di4 10  zhan4 tai2   zhi1 jian1   de   ge2 qiang2,5
16664,第10 站台 之间 的,di4 10  zhan4 tai2   zhi1 jian1   de,5
16665,第10 站台 之间,di4 10  zhan4 tai2   zhi1 jian1,5
16671,第9 和 第10 站台 之间 的,di4 9  he2   di4 10  zhan4 tai2   zhi1 jian1   de,5
16673,第9 和 第10 站台 之间,di4 9  he2   di4 10  zhan4 tai2   zhi1 jian1,5
16704,天 之后,tian1   zhi1 hou4,5
17916,年 之后,nian2   zhi1 hou4,5
19657,和 第10 站台 之间,he2   di4 10  zhan4 tai2   zhi1 jian1,5
19660,和 第10 站台 之间 的 隔墙,he2   di4 10  zhan4 tai2   zhi1 jian1   de   ge2 qiang2,5
19661,和 第10 站台 之间 的,he2   di4 10  zhan4 tai2   zhi1 jian1   de,5
20156,之 快,zhi1   kuai4,5
20167,之前 把,zhi1 qian2   ba3,5
20188,之间 的 隔墙,zhi1 jian1   de   ge2 qiang2,5
20189,之类 的 东西,zhi1 lei4   de   dong1 xi1,5
20190,之后 才,zhi1 hou4   cai2,5
20358,他们 之间,ta1 men   zhi1 jian1,5
