Order Number,Item,Pinyin,Frequency
3932,闷闷不乐 地,men4 men4 bu4 le4   di4,17
7065,闷闷不乐 地 说,men4 men4 bu4 le4   di4   shuo1,11
8467,决斗 俱乐部,jue2 dou4   ju4 le4 bu4,9
9873,快乐 的,kuai4 le4   de,8
10683,圣诞 快乐,sheng4 dan4   kuai4 le4,8
14198,闷闷不乐 的,men4 men4 bu4 le4   de,6
14226,很 乐意,hen3   le4 yi4,6
15566,哈利 闷闷不乐,ha1 li4   men4 men4 bu4 le4,6
15567,哈利 闷闷不乐 地 说,ha1 li4   men4 men4 bu4 le4   di4   shuo1,6
15570,哈利 闷闷不乐 地,ha1 li4   men4 men4 bu4 le4   di4,6
15681,生日 快乐,sheng1 ri4   kuai4 le4,6
15917,的 快乐,de   kuai4 le4,6
17950,幸灾乐祸 地,xing4 zai1 le4 huo4   di4,5
20437,的 乐趣,de   le4 qu4,5
