Order Number,Item,Pinyin,Frequency
208,亲爱 的,qin1 ai4   de,139
963,我 父亲,wo3   fu4 qin1,50
1459,你 父亲,ni3   fu4 qin1,37
2043,父亲 的,fu4 qin1   de,28
2230,他 母亲,ta1   mu3 qin1,26
2398,我 亲爱 的,wo3   qin1 ai4   de,25
2415,我 亲爱,wo3   qin1 ai4,25
2771,母亲 的,mu3 qin1   de,22
2856,的 母亲,de   mu3 qin1,22
3042,的 父亲,de   fu4 qin1,21
3172,我 母亲,wo3   mu3 qin1,20
3210,他 父亲,ta1   fu4 qin1,20
6507,你 母亲,ni3   mu3 qin1,11
6953,亲爱 的 孩子,qin1 ai4   de   hai2 zi,11
8436,亲眼 看见,qin1 yan3   kan4 jian4,9
9727,亲爱 的 哈利,qin1 ai4   de   ha1 li4,8
11482,亲 了,qin1   le,7
12091,的 亲人,de   qin1 ren2,7
12347,他 母亲 的,ta1   mu3 qin1   de,7
12512,母亲 是,mu3 qin1   shi4,7
12661,父亲 和,fu4 qin1   he2,7
13411,了 我 父亲,le   wo3   fu4 qin1,6
14020,亲切 地,qin1 qie4   di4,6
14510,我 亲爱 的 孩子,wo3   qin1 ai4   de   hai2 zi,6
14568,我 母亲 的,wo3   mu3 qin1   de,6
14573,我 父亲 的,wo3   fu4 qin1   de,6
15229,他 父亲 的,ta1   fu4 qin1   de,6
15761,的 亲生,de   qin1 sheng1,6
15762,的 亲戚,de   qin1 qi1,6
16969,你 父亲 的,ni3   fu4 qin1   de,5
17860,亲生 儿子,qin1 sheng1   er2 zi,5
17861,亲爱 的 小,qin1 ai4   de   xiao3,5
17865,亲眼 看见 了,qin1 yan3   kan4 jian4   le,5
17875,亲自 把,qin1 zi4   ba3,5
17886,亲笔 签名,qin1 bi3   qian1 ming2,5
18635,我 亲眼 看见,wo3   qin1 yan3   kan4 jian4,5
18636,我 亲眼,wo3   qin1 yan3,5
20269,父亲 是,fu4 qin1   shi4,5
