Order Number,Item,Pinyin,Frequency
127,件 事,jian4   shi4,185
138,一 件,yi1   jian4,177
200,这 件,zhe4   jian4,144
229,这 件 事,zhe4   jian4   shi4,132
1171,那 件,na4   jian4,44
1620,了 一 件,le   yi1   jian4,34
1872,着 一 件,zhe   yi1   jian4,30
2417,是 一 件,shi4   yi1   jian4,25
2780,一 件 事,yi1   jian4   shi4,22
2840,穿 着 一 件,chuan1   zhe   yi1   jian4,22
3407,攻击 事件,gong1 ji1   shi4 jian4,19
4712,件 东西,jian4   dong1 xi1,15
4756,有 一 件,you3   yi1   jian4,14
4932,把 这 件,ba3   zhe4   jian4,14
4994,几 件,ji3   jian4,14
5452,把 这 件 事,ba3   zhe4   jian4   shi4,13
6218,那 件 事,na4   jian4   shi4,12
6550,了 这 件,le   zhe4   jian4,11
6710,了 这 件 事,le   zhe4   jian4   shi4,11
7122,件 事情,jian4   shi4 qing2,11
7160,的 那 件,de   na4   jian4,11
8712,做 了 一 件,zuo4   le   yi1   jian4,9
9018,每 件,mei3   jian4,9
9263,件 隐形衣,jian4   yin3 xing2 yi1,9
10352,有 件,you3   jian4,8
10827,件 事 我,jian4   shi4   wo3,8
10828,件 很,jian4   hen3,8
11245,一 件 长长,yi1   jian4   chang2 chang2,7
11688,一 件 很,yi1   jian4   hen3,7
11800,一 件 长长 的,yi1   jian4   chang2 chang2   de,7
11831,两 件,liang3   jian4,7
11979,发生 了 一 件,fa1 sheng1   le   yi1   jian4,7
12913,件 礼物,jian4   li3 wu4,7
12914,件 长长 的,jian4   chang2 chang2   de,7
12916,件 长长,jian4   chang2 chang2,7
13112,着 一 件 长长,zhe   yi1   jian4   chang2 chang2,6
13113,着 一 件 长长 的,zhe   yi1   jian4   chang2 chang2   de,6
13744,做 一 件,zuo4   yi1   jian4,6
14597,对 这 件,dui4   zhe4   jian4,6
14604,对 这 件 事,dui4   zhe4   jian4   shi4,6
15245,有 件 事,you3   jian4   shi4,6
15422,他 穿 着 一 件,ta1   chuan1   zhe   yi1   jian4,6
16007,件 事 都,jian4   shi4   dou1,6
16409,着 那 件,zhe   na4   jian4,5
16586,穿 一 件,chuan1   yi1   jian4,5
16591,穿 着 一 件 长长 的,chuan1   zhe   yi1   jian4   chang2 chang2   de,5
16592,穿 着 一 件 长长,chuan1   zhe   yi1   jian4   chang2 chang2,5
16688,不 是 一 件,bu4   shi4   yi1   jian4,5
16988,一 件 东西,yi1   jian4   dong1 xi1,5
17215,觉得 这 件 事,jue2 de   zhe4   jian4   shi4,5
17216,觉得 这 件,jue2 de   zhe4   jian4,5
17246,一 件 事情,yi1   jian4   shi4 qing2,5
17457,起 攻击 事件,qi3   gong1 ji1   shi4 jian4,5
17473,一 件 非常,yi1   jian4   fei1 chang2,5
17474,一 件 隐形衣,yi1   jian4   yin3 xing2 yi1,5
17654,这 件 事 非常,zhe4   jian4   shi4   fei1 chang2,5
18136,几 件 事,ji3   jian4   shi4,5
18554,想 这 件 事,xiang3   zhe4   jian4   shi4,5
18556,想 这 件,xiang3   zhe4   jian4,5
19712,有 几 件,you3   ji3   jian4,5
20445,的 事件,de   shi4 jian4,5
20648,的 文件,de   wen2 jian4,5
20740,件 事 非常,jian4   shi4   fei1 chang2,5
20762,件 非常,jian4   fei1 chang2,5
20763,件 隐形,jian4   yin3 xing2,5
