Order Number,Item,Pinyin,Frequency
104,但 他,dan4   ta1,212
435,但 我,dan4   wo3,85
741,但 哈利,dan4   ha1 li4,59
1534,但 她,dan4   ta1,36
1579,但 他们,dan4   ta1 men,35
1705,但是 他,dan4 shi4   ta1,33
1963,但 这,dan4   zhe4,29
2083,但 他 的,dan4   ta1   de,28
2329,但是 我,dan4 shi4   wo3,25
2573,但 那,dan4   na4,23
3163,但 你,dan4   ni3,20
3181,但 它,dan4   ta1,20
3231,但是 哈利,dan4 shi4   ha1 li4,20
3766,但 不,dan4   bu4,17
3772,但 如果,dan4   ru2 guo3,17
3776,但 我们,dan4   wo3 men,17
4074,但 在,dan4   zai4,16
4218,但 没有,dan4   mei2 you3,16
5217,但 他 不,dan4   ta1   bu4,13
5232,但 赫敏,dan4   he4 min3,13
5841,但 现在,dan4   xian4 zai4,12
5842,但 邓布,dan4   deng4 bu4,12
5845,但 邓布 利多,dan4   deng4 bu4   li4 duo1,12
6490,但 我 不,dan4   wo3   bu4,11
7205,但 他 还是,dan4   ta1   hai2 shi4,10
7214,但 罗恩,dan4   luo2 en1,10
7254,但 我 想,dan4   wo3   xiang3,10
8165,但 又,dan4   you4,9
9371,但 他 知道,dan4   ta1   zhi1 dao4,8
9440,但 没,dan4   mei2,8
10970,但 一,dan4   yi1,7
10972,但 仍然,dan4   reng2 ran2,7
10976,但 他 仍然,dan4   ta1   reng2 ran2,7
10990,但 斯内普,dan4   si1 nei4 pu3,7
10997,但是 他们,dan4 shi4   ta1 men,7
11050,但 他 没有,dan4   ta1   mei2 you3,7
11052,但 你们,dan4   ni3 men,7
11090,但 没 等,dan4   mei2   deng3,7
11118,但是 你,dan4 shi4   ni3,7
13144,但 也,dan4   ye3,6
13171,但 小,dan4   xiao3,6
13193,但 海格,dan4   hai3 ge2,6
13200,但 还是,dan4   hai2 shi4,6
13205,但 韦斯莱,dan4   wei2 si1 lai2,6
13213,但 韦斯莱 夫人,dan4   wei2 si1 lai2   fu1 ren2,6
16355,但 从来,dan4   cong2 lai2,5
16356,但 从,dan4   cong2,5
16365,但 什么,dan4   shen2 me,5
16374,但 他 还,dan4   ta1   hai2,5
16382,但 卢平,dan4   lu2 ping2,5
16398,但 它们,dan4   ta1 men,5
16399,但 只,dan4   zhi3,5
16406,但 并 没有,dan4   bing4   mei2 you3,5
16407,但 并,dan4   bing4,5
16408,但 小 天狼星,dan4   xiao3   tian1 lang2 xing1,5
16411,但 我 必须,dan4   wo3   bi4 xu1,5
16412,但 很,dan4   hen3,5
16424,但 我 认为,dan4   wo3   ren4 wei2,5
16430,但 显然,dan4   xian3 ran2,5
16446,但 这 是,dan4   zhe4   shi4,5
16456,但是 他 的,dan4 shi4   ta1   de,5
16457,但是 他 不,dan4 shi4   ta1   bu4,5
16458,但 那 是,dan4   na4   shi4,5
16463,但是 她,dan4 shi4   ta1,5
