Order Number,Item,Pinyin,Frequency
281,一 位,yi1   wei4,114
1465,座位 上,zuo4 wei4   shang4,37
1645,这 位,zhe4   wei4,34
1874,的 座位,de   zuo4 wei4,30
1943,那 位,na4   wei4,29
1974,位 勇士,wei4   yong3 shi4,29
2666,的 位置,de   wei4 zhi4,23
2871,个 座位,ge4   zuo4 wei4,22
3362,几 位,ji3   wei4,19
3828,的 一 位,de   yi1   wei4,17
4275,位 老师,wei4   lao3 shi1,16
4323,是 一 位,shi4   yi1   wei4,16
4939,两 位,liang3   wei4,14
5237,位 是,wei4   shi4,13
6360,的 座位 上,de   zuo4 wei4   shang4,12
6584,这 位 是,zhe4   wei4   shi4,11
8237,位 巫师,wei4   wu1 shi1,9
9473,位 朋友,wei4   peng2 you3,8
9698,一 位 老师,yi1   wei4   lao3 shi1,8
10331,有 一 位,you3   yi1   wei4,8
10470,每 一 位,mei3   yi1   wei4,8
10764,在 座位,zai4   zuo4 wei4,8
11071,一 个 座位,yi1   ge4   zuo4 wei4,7
11587,几 位 勇士,ji3   wei4   yong3 shi4,7
11734,三 位,san1   wei4,7
11809,从 座位,cong2   zuo4 wei4,7
11810,从 座位 上,cong2   zuo4 wei4   shang4,7
12844,在 座位 上,zai4   zuo4 wei4   shang4,7
12990,的 那 位,de   na4   wei4,7
13928,一 位 勇士,yi1   wei4   yong3 shi4,6
16476,位子 上,wei4 zi   shang4,5
16477,位 穿,wei4   chuan1,5
18128,几 个 座位,ji3   ge4   zuo4 wei4,5
19010,另 一 位,ling4   yi1   wei4,5
19572,是 那 位,shi4   na4   wei4,5
20362,四 位,si4   wei4,5
