Order Number,Item,Pinyin,Frequency
1180,任何 人,ren4 he2   ren2,43
2663,的 任何,de   ren4 he2,23
4207,任何 东西,ren4 he2   dong1 xi1,16
4289,任何 时候,ren4 he2   shi2 hou4,16
5090,没有 任何,mei2 you3   ren4 he2,14
5118,任何 时候 都,ren4 he2   shi2 hou4   dou1,14
7449,比 任何,bi3   ren4 he2,10
8076,任何 一,ren4 he2   yi1,10
8078,任何 事情,ren4 he2   shi4 qing2,10
12276,告诉 任何,gao4 su4   ren4 he2,7
12277,告诉 任何 人,gao4 su4   ren4 he2   ren2,7
12527,比 任何 时候,bi3   ren4 he2   shi2 hou4,7
12927,任何 地方,ren4 he2   di4 fang1,7
15248,有 任何,you3   ren4 he2,6
15438,比 以往 任何 时候,bi3   yi3 wang3   ren4 he2   shi2 hou4,6
15439,比 以往 任何,bi3   yi3 wang3   ren4 he2,6
15440,比 任何 时候 都,bi3   ren4 he2   shi2 hou4   dou1,6
15441,比 以往 任何 时候 都,bi3   yi3 wang3   ren4 he2   shi2 hou4   dou1,6
15996,以往 任何 时候,yi3 wang3   ren4 he2   shi2 hou4,6
15998,以往 任何,yi3 wang3   ren4 he2,6
16006,以往 任何 时候 都,yi3 wang3   ren4 he2   shi2 hou4   dou1,6
16025,任何 一 个,ren4 he2   yi1   ge4,6
17482,做 任何,zuo4   ren4 he2,5
17571,过 任何,guo4   ren4 he2,5
20457,的 任何 东西,de   ren4 he2   dong1 xi1,5
20776,任何 人 的,ren4 he2   ren2   de,5
