Order Number,Item,Pinyin,Frequency
133,佩妮 姨妈,pei4 ni1   yi2 ma1,179
3489,和 佩妮,he2   pei4 ni1,19
4040,和 佩妮 姨妈,he2   pei4 ni1   yi2 ma1,17
4226,佩妮 姨妈 和,pei4 ni1   yi2 ma1   he2,16
5264,姨父 和 佩妮,yi2 fu4   he2   pei4 ni1,13
5365,姨父 和 佩妮 姨妈,yi2 fu4   he2   pei4 ni1   yi2 ma1,13
5685,弗农 姨父 和 佩妮,fu2 nong2   yi2 fu4   he2   pei4 ni1,13
5686,弗农 姨父 和 佩妮 姨妈,fu2 nong2   yi2 fu4   he2   pei4 ni1   yi2 ma1,13
5998,佩妮 姨妈 的,pei4 ni1   yi2 ma1   de,12
8565,佩妮 姨妈 和 达力,pei4 ni1   yi2 ma1   he2   da2 li4,9
9572,佩妮 姨妈 说,pei4 ni1   yi2 ma1   shuo1,8
10257,是 佩妮,shi4   pei4 ni1,8
13654,佩妮 姨妈 和 弗农,pei4 ni1   yi2 ma1   he2   fu2 nong2,6
13657,佩妮 姨妈 和 弗农 姨父,pei4 ni1   yi2 ma1   he2   fu2 nong2   yi2 fu4,6
15079,是 佩妮 姨妈,shi4   pei4 ni1   yi2 ma1,6
16313,了 佩妮 姨妈,le   pei4 ni1   yi2 ma1,5
16314,了 佩妮,le   pei4 ni1,5
