Order Number,Item,Pinyin,Frequency
1667,保护 神奇 动物,bao3 hu4   shen2 qi2   dong4 wu4,33
1691,保护 神奇,bao3 hu4   shen2 qi2,33
2251,保护 神奇 动物 课,bao3 hu4   shen2 qi2   dong4 wu4   ke4,26
5714,的 保护,de   bao3 hu4,13
7287,保加利亚 的,bao3 jia1 li4 ya4   de,10
7348,保密 人,bao3 mi4   ren2,10
8618,保护 神奇 动物 课 的,bao3 hu4   shen2 qi2   dong4 wu4   ke4   de,9
9595,保持 警惕,bao3 chi2   jing3 ti4,8
9985,保证 不,bao3 zheng4   bu4,8
10641,钥匙 保管员,yao4 shi   bao3 guan3 yuan2,8
11063,你 保证,ni3   bao3 zheng4,7
11313,保持 着,bao3 chi2   zhe,7
11833,我 向 你 保证,wo3   xiang4   ni3   bao3 zheng4,7
11921,保持 沉默,bao3 chi2   chen2 mo4,7
12219,向 你 保证,xiang4   ni3   bao3 zheng4,7
13953,巨怪 保安,ju4 guai4   bao3 an1,6
14615,上 保护,shang4   bao3 hu4,6
14619,上 保护 神奇 动物,shang4   bao3 hu4   shen2 qi2   dong4 wu4,6
14638,上 保护 神奇,shang4   bao3 hu4   shen2 qi2,6
15775,的 保密 人,de   bao3 mi4   ren2,6
15776,的 保密,de   bao3 mi4,6
15777,的 保护 神奇,de   bao3 hu4   shen2 qi2,6
15780,的 保护 神奇 动物,de   bao3 hu4   shen2 qi2   dong4 wu4,6
17361,保加利亚 队员,bao3 jia1 li4 ya4   dui4 yuan2,5
17369,保持 平静,bao3 chi2   ping2 jing4,5
17375,保持 联系,bao3 chi2   lian2 xi4,5
17376,保护 自己,bao3 hu4   zi4 ji3,5
18642,我 保证,wo3   bao3 zheng4,5
18820,上 保护 神奇 动物 课,shang4   bao3 hu4   shen2 qi2   dong4 wu4   ke4,5
19355,时刻 保持 警惕,shi2 ke4   bao3 chi2   jing3 ti4,5
19358,时刻 保持,shi2 ke4   bao3 chi2,5
19682,上帝 保佑,shang4 di4   bao3 you4,5
