Order Number,Item,Pinyin,Frequency
485,在 这儿,zai4   zhe4 er2,80
528,在 那儿,zai4   na4 er2,75
718,在 哪儿,zai4   na3 er2,61
890,一点儿 也,yi4 dian3 er2   ye3,53
997,的 儿子,de   er2 zi,49
1077,快 点儿,kuai4   dian3 er2,46
1087,一点儿 也 不,yi4 dian3 er2   ye3   bu4,46
1182,了 一会儿,le   yi1 hui4 er,43
1536,哪儿 去,na3 er2   qu4,36
1735,这儿 来,zhe4 er2   lai2,32
2096,哪儿 去 了,na3 er2   qu4   le,28
2719,从 哪儿,cong2   na3 er2,23
3243,上 哪儿,shang4   na3 er2,20
3366,上 哪儿 去,shang4   na3 er2   qu4,19
3599,没 事儿,mei2   shi4 er2,18
3656,过 了 一会儿,guo4   le   yi1 hui4 er,18
3748,去 哪儿,qu4   na3 er2,18
3980,那 玩意儿,na4   wan2 yi4 er2,17
4008,是 从 哪儿,shi4   cong2   na3 er2,17
4322,上 哪儿 去 了,shang4   na3 er2   qu4   le,16
4410,了 一点儿,le   yi4 dian3 er2,15
4875,到 这儿,dao4   zhe4 er2,14
5015,的 事儿,de   shi4 er2,14
5123,到 这儿 来,dao4   zhe4 er2   lai2,14
5202,哪儿 都,na3 er2   dou1,13
5901,你 在 这儿,ni3   zai4   zhe4 er2,12
5966,了 点儿,le   dian3 er2,12
5989,到 哪儿,dao4   na3 er2,12
6245,那儿 去,na4 er2   qu4,12
6295,的 玩意儿,de   wan2 yi4 er2,12
6319,的 一点儿,de   yi4 dian3 er2,12
7737,的 分儿 上,de   fen1 er2   shang4,10
7797,这儿 干,zhe4 er2   gan4,10
7808,差 一点儿,cha4   yi4 dian3 er2,10
7999,的 分儿,de   fen1 er2,10
8091,分儿 上,fen1 er2   shang4,10
8357,一个劲儿 地,yi2 ge4 jin4 er2   di4,9
8417,老天 的 分儿 上,lao3 tian1   de   fen1 er2   shang4,9
8441,老天 的 分儿,lao3 tian1   de   fen1 er2,9
8537,到 哪儿 去,dao4   na3 er2   qu4,9
8590,我 一点儿,wo3   yi4 dian3 er2,9
8695,走到 哪儿,zou3 dao4   na3 er2,9
8722,个 儿子,ge4   er2 zi,9
8883,上 这儿 来,shang4   zhe4 er2   lai2,9
8904,显得 有点儿,xian3 de   you3 dian3 er2,9
9228,上 这儿,shang4   zhe4 er2,9
9470,声儿 地,sheng1 er2   di4,8
9683,这 事儿,zhe4   shi4 er2,8
9704,差点儿 把,cha4 dian3 er2   ba3,8
10246,待 一会儿,dai4   yi1 hui4 er,8
10304,这儿 干 什么,zhe4 er2   gan4   shen2 me,8
10339,有 一点儿,you3   yi4 dian3 er2,8
10500,没 声儿,mei2   sheng1 er2,8
10501,没 声儿 地,mei2   sheng1 er2   di4,8
10556,海格 那儿,hai3 ge2   na4 er2,8
10584,哪儿 呢,na3 er2   ne,8
11185,自己 的 儿子,zi4 ji3   de   er2 zi,7
11435,这 玩意儿,zhe4   wan2 yi4 er2,7
11446,这儿 有,zhe4 er2   you3,7
11601,待 在 这儿,dai4   zai4   zhe4 er2,7
11730,悄 没 声儿,qiao1   mei2   sheng1 er2,7
11731,悄 没 声儿 地,qiao1   mei2   sheng1 er2   di4,7
11786,从 哪儿 弄来,cong2   na3 er2   nong4 lai2,7
11820,我 儿子,wo3   er2 zi,7
11852,压根儿 就,ya4 gen1 er2   jiu4,7
11906,他 一点儿,ta1   yi4 dian3 er2,7
12041,小心 点儿,xiao3 xin1   dian3 er2,7
12189,事儿 吧,shi4 er2   ba,7
12386,他 的 儿子,ta1   de   er2 zi,7
12562,没有 一点儿,mei2 you3   yi4 dian3 er2,7
12631,哈利站 在 那儿,ha1 li4 zhan4   zai4   na4 er2,7
12645,哪儿 弄来,na3 er2   nong4 lai2,7
12938,在 这儿 干,zai4   zhe4 er2   gan4,7
13153,坐 在 那儿,zuo4   zai4   na4 er2,6
13157,着 玩儿,zhe   wan2 er2,6
13459,一会儿 就,yi1 hui4 er   jiu4,6
13759,一点儿 东西,yi4 dian3 er2   dong1 xi1,6
13775,一点儿 声音,yi4 dian3 er2   sheng1 yin1,6
13841,就 在 这儿,jiu4   zai4   zhe4 er2,6
13845,就 在 那儿,jiu4   zai4   na4 er2,6
14066,那儿 的,na4 er2   de,6
14215,待会儿 见,dai4 hui4 er   jian4,6
14358,什么 事儿,shen2 me   shi4 er2,6
14474,从 哪儿 弄来 的,cong2   na3 er2   nong4 lai2   de,6
14637,他 一点儿 也,ta1   yi4 dian3 er2   ye3,6
14720,赶到 那儿,gan3 dao4   na4 er2,6
14764,个 劲儿,ge4   jin4 er,6
14977,他 差点儿,ta1   cha4 dian3 er2,6
15330,来 这儿,lai2   zhe4 er2,6
15467,一 个 劲儿,yi1   ge4   jin4 er,6
15470,没 事儿 吧,mei2   shi4 er2   ba,6
15607,哪儿 了,na3 er2   le,6
15609,哪儿 弄来 的,na3 er2   nong4 lai2   de,6
15810,的 劲儿,de   jin4 er,6
16021,在 老天 的 分儿,zai4   lao3 tian1   de   fen1 er2,6
16022,在 老天 的 分儿 上,zai4   lao3 tian1   de   fen1 er2   shang4,6
16056,在 这儿 干 什么,zai4   zhe4 er2   gan4   shen2 me,6
16206,看 在 老天 的 分儿 上,kan4   zai4   lao3 tian1   de   fen1 er2   shang4,6
16207,看 在 老天 的 分儿,kan4   zai4   lao3 tian1   de   fen1 er2,6
16377,着 玩儿 的,zhe   wan2 er2   de,5
16649,站在 那儿,zhan4 zai4   na4 er2,5
16778,你 在 哪儿,ni3   zai4   na3 er2,5
17345,谁 在 那儿,shui2   zai4   na4 er2,5
17443,走到 哪儿 都,zou3 dao4   na3 er2   dou1,5
17472,一点儿 不,yi4 dian3 er2   bu4,5
17652,儿子 的,er2 zi   de,5
17743,这儿 呢,zhe4 er2   ne,5
17860,亲生 儿子,qin1 sheng1   er2 zi,5
17915,那儿 了,na4 er2   le,5
