Order Number,Item,Pinyin,Frequency
29,韦斯莱 先生,wei2 si1 lai2   xian1 sheng1,428
151,克劳奇 先生,ke4 lao2 qi2   xian1 sheng1,168
257,先生 说,xian1 sheng1   shuo1,122
509,韦斯莱 先生 说,wei2 si1 lai2   xian1 sheng1   shuo1,78
785,先生 的,xian1 sheng1   de,57
1052,马尔福 先生,ma3 er3 fu2   xian1 sheng1,47
1221,迪戈里 先生,di2 ge1 li3   xian1 sheng1,42
1334,奥利凡德 先生,ao4 li4 fan2 de2   xian1 sheng1,39
2034,先生 和,xian1 sheng1   he2,28
2148,波特 先生,bo1 te4   xian1 sheng1,27
2473,巴格曼 先生,ba1 ge2 man4   xian1 sheng1,24
2522,韦斯莱 先生 的,wei2 si1 lai2   xian1 sheng1   de,24
2730,德思礼 先生,de2 si1 li3   xian1 sheng1,22
2922,罗伯茨 先生,luo2 bo2 ci2   xian1 sheng1,21
3393,先生 在,xian1 sheng1   zai4,19
3672,先生 说 着,xian1 sheng1   shuo1   zhe,18
4623,克劳奇 先生 说,ke4 lao2 qi2   xian1 sheng1   shuo1,15
4664,韦斯莱 先生 和,wei2 si1 lai2   xian1 sheng1   he2,15
4804,你 先,ni3   xian1,14
4935,博金 先生,bo2 jin1   xian1 sheng1,14
5319,先生 用,xian1 sheng1   yong4,13
6147,先 是,xian1   shi4,12
6289,韦斯莱 先生 在,wei2 si1 lai2   xian1 sheng1   zai4,12
6323,韦斯莱 先生 说 着,wei2 si1 lai2   xian1 sheng1   shuo1   zhe,12
6583,先生 不,xian1 sheng1   bu4,11
6720,费尔奇 先生,fei4 er3 qi2   xian1 sheng1,11
7776,先生 是,xian1 sheng1   shi4,10
8163,着 克劳奇 先生,zhe   ke4 lao2 qi2   xian1 sheng1,9
8379,奥利凡德 先生 说,ao4 li4 fan2 de2   xian1 sheng1   shuo1,9
8666,对 韦斯莱 先生,dui4   wei2 si1 lai2   xian1 sheng1,9
8898,克劳奇 先生 的,ke4 lao2 qi2   xian1 sheng1   de,9
9381,迪戈 里 先生,di2 ge1   li3   xian1 sheng1,8
9691,先生 似乎,xian1 sheng1   si4 hu1,8
9694,先生 没有,xian1 sheng1   mei2 you3,8
9705,迪戈里 先生 说,di2 ge1 li3   xian1 sheng1   shuo1,8
9763,里 先生,li3   xian1 sheng1,8
10083,他 原先,ta1   yuan2 xian1,8
10251,先 别,xian1   bie2,8
11416,先生 也,xian1 sheng1   ye3,7
11432,先生 把,xian1 sheng1   ba3,7
11649,马尔福 先生 的,ma3 er3 fu2   xian1 sheng1   de,7
12237,是 克劳奇 先生,shi4   ke4 lao2 qi2   xian1 sheng1,7
12269,先生 看,xian1 sheng1   kan4,7
13721,对 韦斯莱 先生 说,dui4   wei2 si1 lai2   xian1 sheng1   shuo1,6
13902,先 把,xian1   ba3,6
13915,先生 正,xian1 sheng1   zheng4,6
15095,先生 就,xian1 sheng1   jiu4,6
15233,和 韦斯莱 先生,he2   wei2 si1 lai2   xian1 sheng1,6
15580,哈利·波特 先生,ha1 li4 · bo1 te4   xian1 sheng1,6
15819,在 克劳奇 先生,zai4   ke4 lao2 qi2   xian1 sheng1,6
15986,韦斯莱 先生 用,wei2 si1 lai2   xian1 sheng1   yong4,6
16422,着 韦斯莱 先生,zhe   wei2 si1 lai2   xian1 sheng1,5
16714,你 原先,ni3   yuan2 xian1,5
16803,罗伯茨 先生 说,luo2 bo2 ci2   xian1 sheng1   shuo1,5
17608,争先恐后 地,zheng1 xian1 kong3 hou4   di4,5
17634,还是 先,hai2 shi4   xian1,5
17669,先 到,xian1   dao4,5
17679,先生 吗,xian1 sheng1   ma,5
17680,先生 冷冷,xian1 sheng1   leng3 leng3,5
17681,先生 从,xian1 sheng1   cong2,5
17694,先生 大声,xian1 sheng1   da4 sheng1,5
17695,先生 和 夫人,xian1 sheng1   he2   fu1 ren2,5
17707,先生 疯 了,xian1 sheng1   feng1   le,5
17708,先生 疯,xian1 sheng1   feng1,5
17715,先生 笑,xian1 sheng1   xiao4,5
17720,先生 笑 着 说,xian1 sheng1   xiao4   zhe   shuo1,5
17721,先生 笑 着,xian1 sheng1   xiao4   zhe,5
18246,韦斯莱 先生 正,wei2 si1 lai2   xian1 sheng1   zheng4,5
18248,韦斯莱 先生 笑,wei2 si1 lai2   xian1 sheng1   xiao4,5
18272,领先 五十分,ling3 xian1   wu3 shi2 fen1,5
18299,马尔福 先生 说,ma3 er3 fu2   xian1 sheng1   shuo1,5
18378,德 思礼 先生,de2   si1 li3   xian1 sheng1,5
18461,思礼 先生,si1 li3   xian1 sheng1,5
18718,原先 的,yuan2 xian1   de,5
18800,我们 先,wo3 men   xian1,5
19863,哈利 和 韦斯莱 先生,ha1 li4   he2   wei2 si1 lai2   xian1 sheng1,5
19897,梅森 先生,mei2 sen1   xian1 sheng1,5
20705,韦斯莱 先生 笑 着,wei2 si1 lai2   xian1 sheng1   xiao4   zhe,5
20706,韦斯莱 先生 笑 着 说,wei2 si1 lai2   xian1 sheng1   xiao4   zhe   shuo1,5
