Order Number,Item,Pinyin,Frequency
37,弗农 姨父,fu2 nong2   yi2 fu4,401
1414,弗农 姨父 的,fu2 nong2   yi2 fu4   de,38
1905,弗农 姨父 说,fu2 nong2   yi2 fu4   shuo1,30
3610,弗农 姨父 和,fu2 nong2   yi2 fu4   he2,18
5047,和 弗农,he2   fu2 nong2,14
5048,和 弗农 姨父,he2   fu2 nong2   yi2 fu4,14
5685,弗农 姨父 和 佩妮,fu2 nong2   yi2 fu4   he2   pei4 ni1,13
5686,弗农 姨父 和 佩妮 姨妈,fu2 nong2   yi2 fu4   he2   pei4 ni1   yi2 ma1,13
8192,着 弗农,zhe   fu2 nong2,9
9369,着 弗农 姨父,zhe   fu2 nong2   yi2 fu4,8
10602,弗农 姨父 吼道,fu2 nong2   yi2 fu4   hou3 dao4,8
12257,是 弗农 姨父,shi4   fu2 nong2   yi2 fu4,7
12258,是 弗农,shi4   fu2 nong2,7
13384,了 弗农,le   fu2 nong2,6
13388,了 弗农 姨父,le   fu2 nong2   yi2 fu4,6
13572,姨妈 和 弗农,yi2 ma1   he2   fu2 nong2,6
13575,姨妈 和 弗农 姨父,yi2 ma1   he2   fu2 nong2   yi2 fu4,6
13654,佩妮 姨妈 和 弗农,pei4 ni1   yi2 ma1   he2   fu2 nong2,6
13657,佩妮 姨妈 和 弗农 姨父,pei4 ni1   yi2 ma1   he2   fu2 nong2   yi2 fu4,6
13853,像 弗农,xiang4   fu2 nong2,6
14137,弗农 姨父 又,fu2 nong2   yi2 fu4   you4,6
15636,弗农 姨父 在,fu2 nong2   yi2 fu4   zai4,6
15918,在 弗农 姨父,zai4   fu2 nong2   yi2 fu4,6
15920,在 弗农,zai4   fu2 nong2,6
17620,像 弗农 姨父,xiang4   fu2 nong2   yi2 fu4,5
18061,弗农 姨父 也,fu2 nong2   yi2 fu4   ye3,5
18062,弗农 姨父 咆哮,fu2 nong2   yi2 fu4   pao2 xiao1,5
18073,弗农 姨父 用,fu2 nong2   yi2 fu4   yong4,5
