Order Number,Item,Pinyin,Frequency
303,一 副,yi1   fu4,109
3427,那 副,na4   fu4,19
4610,是 一 副,shi4   yi1   fu4,15
4611,这 副,zhe4   fu4,15
5820,着 一 副,zhe   yi1   fu4,12
10879,的 那 副,de   na4   fu4,8
11232,装出 一 副,zhuang1 chu1   yi1   fu4,7
11759,副 表情,fu4   biao3 qing2,7
14023,那 副 表情,na4   fu4   biao3 qing2,6
14663,戴 着 一 副,dai4   zhe   yi1   fu4,6
16973,脸 上 的 那 副,lian3   shang4   de   na4   fu4,5
17160,学校 副校长,xue2 xiao4   fu4 xiao4 zhang3,5
18335,魔法 学校 副校长,mo2 fa3   xue2 xiao4   fu4 xiao4 zhang3,5
18506,一 副 得意洋洋,yi1   fu4   de2 yi4 yang2 yang2,5
18507,一 副 很,yi1   fu4   hen3,5
18541,副 得意洋洋,fu4   de2 yi4 yang2 yang2,5
18544,副 很,fu4   hen3,5
19379,上 的 那 副,shang4   de   na4   fu4,5
20889,的 那 副 表情,de   na4   fu4   biao3 qing2,5
