Order Number,Item,Pinyin,Frequency
396,的 办公室,de   ban4 gong1 shi4,90
1566,的 办法,de   ban4 fa3,35
1730,怎么办 呢,zen3 me ban4   ne,32
2138,办公室 里,ban4 gong1 shi4   li3,27
2799,我 的 办公室,wo3   de   ban4 gong1 shi4,22
3164,办公室 的,ban4 gong1 shi4   de,20
3657,没有 办法,mei2 you3   ban4 fa3,18
3769,有 办法,you3   ban4 fa3,17
3884,想 办法,xiang3   ban4 fa3,17
4237,该 怎么办,gai1   zen3 me ban4,16
5130,的 办公室 里,de   ban4 gong1 shi4   li3,14
5693,怎么 办,zen3 me   ban4,13
6439,什么 办法,shen2 me   ban4 fa3,12
7946,别的 办法,bie2 de   ban4 fa3,10
8208,了 办公室,le   ban4 gong1 shi4,9
8951,他 的 办公室,ta1   de   ban4 gong1 shi4,9
9402,禁止 滥用 麻瓜 物品 办公室,jin4 zhi3   lan4 yong4   ma2 gua1   wu4 pin3   ban4 gong1 shi4,8
9500,禁止 滥用 魔法 办公室,jin4 zhi3   lan4 yong4   mo2 fa3   ban4 gong1 shi4,8
9512,好 的 办法,hao3   de   ban4 fa3,8
9850,利多 的 办公室,li4 duo1   de   ban4 gong1 shi4,8
9856,滥用 魔法 办公室,lan4 yong4   mo2 fa3   ban4 gong1 shi4,8
10012,我们 怎么办,wo3 men   zen3 me ban4,8
10061,个 办法,ge4   ban4 fa3,8
10385,邓布 利多 的 办公室,deng4 bu4   li4 duo1   de   ban4 gong1 shi4,8
10576,滥用 麻瓜 物品 办公室,lan4 yong4   ma2 gua1   wu4 pin3   ban4 gong1 shi4,8
10607,物品 办公室,wu4 pin3   ban4 gong1 shi4,8
10899,魔法 办公室,mo2 fa3   ban4 gong1 shi4,8
10926,麻瓜 物品 办公室,ma2 gua1   wu4 pin3   ban4 gong1 shi4,8
11174,你 的 办公室,ni3   de   ban4 gong1 shi4,7
11761,办公室 去,ban4 gong1 shi4   qu4,7
12367,有 什么 办法,you3   shen2 me   ban4 fa3,7
12552,没 办法,mei2   ban4 fa3,7
13658,该 怎么办 呢,gai1   zen3 me ban4   ne,6
14048,内 普 的 办公室,nei4   pu3   de   ban4 gong1 shi4,6
14456,办法 的,ban4 fa3   de,6
14457,办法 是,ban4 fa3   shi4,6
15173,普 的 办公室,pu3   de   ban4 gong1 shi4,6
15205,最 好 的 办法,zui4   hao3   de   ban4 fa3,6
15356,一 个 办法,yi1   ge4   ban4 fa3,6
15489,没有 别的 办法,mei2 you3   bie2 de   ban4 fa3,6
15806,的 办公室 去,de   ban4 gong1 shi4   qu4,6
15807,的 办法 是,de   ban4 fa3   shi4,6
15824,也 没有 办法,ye3   mei2 you3   ban4 fa3,6
16479,知道 该 怎么办,zhi1 dao4   gai1   zen3 me ban4,5
16809,了 怎么办,le   zen3 me ban4,5
16948,她 的 办公室,ta1   de   ban4 gong1 shi4,5
18545,办公室 呢,ban4 gong1 shi4   ne,5
18549,办法 就,ban4 fa3   jiu4,5
18553,办法 把,ban4 fa3   ba3,5
18557,办法 就 是,ban4 fa3   jiu4   shi4,5
19270,教授 的 办公室,jiao4 shou4   de   ban4 gong1 shi4,5
19300,斯内普 的 办公室,si1 nei4 pu3   de   ban4 gong1 shi4,5
20494,的 办公室 呢,de   ban4 gong1 shi4   ne,5
20533,在 办公室,zai4   ban4 gong1 shi4,5
