Order Number,Item,Pinyin,Frequency
3349,去 参加,qu4   can1 jia1,19
4185,个 加隆,ge4   jia1 long2,16
4200,参加 比赛,can1 jia1   bi3 sai4,16
4920,加 了,jia1   le,14
5454,参加 争霸赛,can1 jia1   zheng1 ba4 sai4,13
5455,参加 舞会,can1 jia1   wu3 hui4,13
7280,未成年 巫师 加以 合理,wei4 cheng2 nian2   wu1 shi1   jia1 yi3   he2 li3,10
7281,未成年 巫师 加以,wei4 cheng2 nian2   wu1 shi1   jia1 yi3,10
7287,保加利亚 的,bao3 jia1 li4 ya4   de,10
7351,对 未成年 巫师 加以 合理,dui4   wei4 cheng2 nian2   wu1 shi1   jia1 yi3   he2 li3,10
7537,加以 合理,jia1 yi3   he2 li3,10
7540,加快 了,jia1 kuai4   le,10
7653,对 未成年 巫师 加以,dui4   wei4 cheng2 nian2   wu1 shi1   jia1 yi3,10
8147,巫师 加以 合理,wu1 shi1   jia1 yi3   he2 li3,10
8150,巫师 加以,wu1 shi1   jia1 yi3,10
8567,想 参加,xiang3   can1 jia1,9
8648,参加 三,can1 jia1   san1,9
8649,参加 三 强,can1 jia1   san1   qiang2,9
8650,参加 三 强 争霸赛,can1 jia1   san1   qiang2   zheng1 ba4 sai4,9
8654,参加 过,can1 jia1   guo4,9
9815,要 参加,yao4   can1 jia1,8
9930,加以 合理 约束法,jia1 yi3   he2 li3   yue1 shu4 fa3,8
9931,加入 凤凰社,jia1 ru4   feng4 huang2 she4,8
9984,对 未成年 巫师 加以 合理 约束法,dui4   wei4 cheng2 nian2   wu1 shi1   jia1 yi3   he2 li3   yue1 shu4 fa3,8
10069,变得 更加,bian4 de2   geng4 jia1,8
10105,报名 参加,bao4 ming2   can1 jia1,8
10313,巫师 加以 合理 约束法,wu1 shi1   jia1 yi3   he2 li3   yue1 shu4 fa3,8
10390,未成年 巫师 加以 合理 约束法,wei4 cheng2 nian2   wu1 shi1   jia1 yi3   he2 li3   yue1 shu4 fa3,8
10477,比 以前 更加,bi3   yi3 qian2   geng4 jia1,8
10482,再 加,zai4   jia1,8
10808,以前 更加,yi3 qian2   geng4 jia1,8
11108,增加 了,zeng1 jia1   le,7
11234,威森 加摩,wei1 sen1   jia1 mo2,7
11764,加入 了,jia1 ru4   le,7
11793,十 个 加隆,shi2   ge4   jia1 long2,7
11867,去 参加 舞会,qu4   can1 jia1   wu3 hui4,7
11887,参加 宴会,can1 jia1   yan4 hui4,7
13570,一千 加隆,yi1 qian1   jia1 long2,6
14101,一起 去 参加,yi4 qi3   qu4   can1 jia1,6
14376,必须 参加,bi4 xu1   can1 jia1,6
14458,加 了 一,jia1   le   yi1,6
14462,加 了 一 句,jia1   le   yi1   ju4,6
14466,加快 速度,jia1 kuai4   su4 du4,6
14608,参加 争霸赛 的,can1 jia1   zheng1 ba4 sai4   de,6
14609,参加 了,can1 jia1   le,6
15159,他 更加,ta1   geng4 jia1,6
15230,个 金加隆,ge4   jin1 jia1 long2,6
15322,来 参加,lai2   can1 jia1,6
15540,一起 去 参加 舞会,yi4 qi3   qu4   can1 jia1   wu3 hui4,6
16937,能 参加,neng2   can1 jia1,5
17149,威森 加摩 的,wei1 sen1   jia1 mo2   de,5
17361,保加利亚 队员,bao3 jia1 li4 ya4   dui4 yuan2,5
18559,加入 到,jia1 ru4   dao4,5
18565,加快 脚步,jia1 kuai4   jiao3 bu4,5
18566,加快 了 脚步,jia1 kuai4   le   jiao3 bu4,5
18577,加摩 的,jia1 mo2   de,5
18653,我 参加,wo3   can1 jia1,5
19035,报名 参加 争霸赛,bao4 ming2   can1 jia1   zheng1 ba4 sai4,5
19626,更加 强大,geng4 jia1   qiang2 da4,5
19820,哈利 加快,ha1 li4   jia1 kuai4,5
20090,没有 参加,mei2 you3   can1 jia1,5
