Order Number,Item,Pinyin,Frequency
1022,十 分钟,shi2   fen1 zhong1,48
2432,十字 车站,shi2 zi4   che1 zhan4,24
2484,国王 十字,guo2 wang2   shi2 zi4,24
2533,国王 十字 车站,guo2 wang2   shi2 zi4   che1 zhan4,24
2996,十 个,shi2   ge4,21
3496,十二 个,shi2 er4   ge4,18
4053,十 分钟 后,shi2   fen1 zhong1   hou4,16
4071,有 十,you3   shi2,16
4184,十七 岁,shi2 qi1   sui4,16
4369,显得 十分,xian3 de   shi2 fen1,16
4377,五十 年,wu3 shi2   nian2,16
4620,二十 分钟,er4 shi2   fen1 zhong1,15
4799,五十 年 前,wu3 shi2   nian2   qian2,14
4930,十二 年,shi2 er4   nian2,14
5051,五十 英尺,wu3 shi2   ying1 chi3,14
5415,十 英尺,shi2   ying1 chi3,13
5742,二十 英尺,er4 shi2   ying1 chi3,13
6011,十三 年,shi2 san1   nian2,12
6693,十 年,shi2   nian2,11
7252,了 十二,le   shi2 er4,10
7560,十三 岁,shi2 san1   sui4,10
8587,十一 岁,shi2 yi1   sui4,9
8592,十六 岁,shi2 liu4   sui4,9
8630,去 国王 十字,qu4   guo2 wang2   shi2 zi4,9
8633,去 国王 十字 车站,qu4   guo2 wang2   shi2 zi4   che1 zhan4,9
10342,有 二十,you3   er4 shi2,8
10691,不满 十七,bu4 man3   shi2 qi1,8
11018,神情 十分,shen2 qing2   shi2 fen1,7
11398,还 有 十,hai2   you3   shi2,7
11781,感到 十分,gan3 dao4   shi2 fen1,7
11793,十 个 加隆,shi2   ge4   jia1 long2,7
11802,十分 震惊,shi2 fen1   zhen4 jing1,7
12027,他 十分,ta1   shi2 fen1,7
12376,有 十二,you3   shi2 er4,7
12377,有 十 分钟,you3   shi2   fen1 zhong1,7
13343,了 十,le   shi2,6
13972,五十 英尺 高,wu3 shi2   ying1 chi3   gao1,6
14213,不满 十七 岁,bu4 man3   shi2 qi1   sui4,6
14301,得 十分,de2   shi2 fen1,6
14492,十五 分钟,shi2 wu3   fen1 zhong1,6
14493,十二 英尺,shi2 er4   ying1 chi3,6
15062,是 五十,shi4   wu3 shi2,6
15064,是 五十 年 前,shi4   wu3 shi2   nian2   qian2,6
15065,是 五十 年,shi4   wu3 shi2   nian2,6
15234,有 五十,you3   wu3 shi2,6
16547,种 十分,zhong3   shi2 fen1,5
17703,二十 个,er4 shi2   ge4,5
17722,二月 二十四日,er4 yue4   er4 shi2 si4 ri4,5
17723,二十 分钟 后,er4 shi2   fen1 zhong1   hou4,5
17770,五十 年 前 的,wu3 shi2   nian2   qian2   de,5
18272,领先 五十分,ling3 xian1   wu3 shi2 fen1,5
18615,十 分钟 就,shi2   fen1 zhong1   jiu4,5
18621,十分 坚决,shi2 fen1   jian1 jue2,5
18622,十六 岁 的,shi2 liu4   sui4   de,5
18624,十足 地,shi2 zu2   di4,5
18628,十字 车站 的,shi2 zi4   che1 zhan4   de,5
19990,比 十,bi3   shi2,5
20075,一 种 十分,yi1   zhong3   shi2 fen1,5
20433,国王 十字 车站 的,guo2 wang2   shi2 zi4   che1 zhan4   de,5
