Order Number,Item,Pinyin,Frequency
193,他 又,ta1   you4,146
334,又 是,you4   shi4,101
403,又 一,you4   yi1,89
733,又 把,you4   ba3,60
899,又 在,you4   zai4,52
951,哈利 又,ha1 li4   you4,51
1051,又 有,you4   you3,47
1168,又 一 次,you4   yi1   ci4,44
1289,又 说,you4   shuo1,41
1399,然后 又,ran2 hou4   you4,38
1474,她 又,ta1   you4,37
1794,又 开始,you4   kai1 shi3,31
1957,又 是 一,you4   shi4   yi1,29
2297,他们 又,ta1 men   you4,26
2668,又 要,you4   yao4,23
2710,又 不,you4   bu4,23
2775,又 回到,you4   hui2 dao4,22
2870,又 被,you4   bei4,22
3448,里 又,li3   you4,19
3965,就 又,jiu4   you4,17
4100,那 又,na4   you4,16
4205,又 想,you4   xiang3,16
4210,又 说 了,you4   shuo1   le,16
4366,你 又,ni3   you4,16
4417,声音 又,sheng1 yin1   you4,15
4556,又 问,you4   wen4,15
4825,罗恩 又,luo2 en1   you4,14
4947,赫敏 又,he4 min3   you4,14
4956,又 恢复,you4   hui1 fu4,14
4960,又 看看,you4   kan4 kan4,14
4962,又 说 了 一,you4   shuo1   le   yi1,14
5347,又 说 了 一 遍,you4   shuo1   le   yi1   bian4,13
5423,我 又,wo3   you4,13
5460,又 回来,you4   hui2 lai2,13
5468,又 用,you4   yong4,13
5520,接着 又,jie1 zhe   you4,13
5534,教授 又,jiao4 shou4   you4,13
5940,又 望望,you4   wang4 wang4,12
5954,又 说道,you4   shuo1 dao4,12
6048,又 从,you4   cong2,12
6051,又 发出,you4   fa1 chu1,12
6055,又 对,you4   dui4,12
6741,现在 又,xian4 zai4   you4,11
6751,又 回到 了,you4   hui2 dao4   le,11
6753,又 回来 了,you4   hui2 lai2   le,11
6756,又 怎么样,you4   zen3 me yang4,11
6759,又 有 什么,you4   you3   shen2 me,11
7413,邓布利多 又,deng4 bu4 li4 duo1   you4,10
7420,那 又 怎么样,na4   you4   zen3 me yang4,10
7575,便 又,bian4   you4,10
7618,又 是 一 阵,you4   shi4   yi1   zhen4,10
7620,又 朝,you4   chao2,10
7629,又 长,you4   zhang3,10
7631,又 黑,you4   hei1,10
7762,这 又,zhe4   you4,10
7901,它 又,ta1   you4,10
8165,但 又,dan4   you4,9
8388,这 又 是,zhe4   you4   shi4,9
8420,遍 又 一,bian4   you4   yi1,9
8421,遍 又,bian4   you4,9
8445,脸上 又,lian3 shang4   you4,9
8478,门 又,men2   you4,9
8657,又 一 个,you4   yi1   ge4,9
8658,又 一 遍,you4   yi1   bian4,9
8660,又 不 是,you4   bu4   shi4,9
8663,又 会,you4   hui4,9
8665,又 出现,you4   chu1 xian4,9
8670,又 变得,you4   bian4 de2,9
8671,又 变成,you4   bian4 cheng2,9
8677,又 大,you4   da4,9
8678,又 恢复 了,you4   hui1 fu4   le,9
8681,又 是 什么,you4   shi4   shen2 me,9
8683,又 有 人,you4   you3   ren2,9
8686,又 觉得,you4   jue2 de,9
8689,又 转向,you4   zhuan3 xiang4,9
8694,又 高,you4   gao1,9
8830,斯内普 又,si1 nei4 pu3   you4,9
8843,同时 又,tong2 shi2   you4,9
8960,遍 又 一 遍,bian4   you4   yi1   bian4,9
9290,一 遍 又,yi1   bian4   you4,9
9294,一 遍 又 一,yi1   bian4   you4   yi1,9
9303,一 遍 又 一 遍,yi1   bian4   you4   yi1   bian4,9
10001,又 传来,you4   chuan2 lai2,8
10002,又 像,you4   xiang4,8
10007,又 变成 了,you4   bian4 cheng2   le,8
10008,又 听见,you4   ting1 jian4,8
10015,又 小,you4   xiao3,8
10030,又 说话,you4   shuo1 hua4,8
10031,又 说话 了,you4   shuo1 hua4   le,8
10036,又 高 又,you4   gao1   you4,8
10551,海格 又,hai3 ge2   you4,8
10732,的 声音 又,de   sheng1 yin1   you4,8
10869,高 又,gao1   you4,8
10892,地 又,di4   you4,8
10962,着 又,zhe   you4,7
