Order Number,Item,Pinyin,Frequency
669,吃惊 地,chi1 jing1   di4,63
1266,吃 了,chi1   le,41
1353,吃 早饭,chi1   zao3 fan4,39
1739,吃 的,chi1   de,32
2082,吃 午饭,chi1   wu3 fan4,28
2683,吃 过,chi1   guo4,23
3232,吃 晚饭,chi1   wan3 fan4,20
3680,吃惊 的,chi1 jing1   de,18
4637,吃 着,chi1   zhe,15
5023,吃 的 东西,chi1   de   dong1 xi1,14
5068,哈利 吃惊,ha1 li4   chi1 jing1,14
5080,吃惊 地 问,chi1 jing1   di4   wen4,14
5447,去 吃,qu4   chi1,13
5630,吃 了 一,chi1   le   yi1,13
6124,吃 一,chi1   yi1,12
6126,吃 了 一 惊,chi1   le   yi1   jing1,12
6225,吃 得,chi1   de2,12
6387,地 吃,di4   chi1,12
6941,哈利 吃惊 地,ha1 li4   chi1 jing1   di4,11
7089,很 吃惊,hen3   chi1 jing1,11
7551,感到 吃惊,gan3 dao4   chi1 jing1,10
7738,吃 早饭 时,chi1   zao3 fan4   shi2,10
7742,吃惊 的 是,chi1 jing1   de   shi4,10
8454,下楼 吃,xia4 lou2   chi1,9
8466,下楼 吃 早饭,xia4 lou2   chi1   zao3 fan4,9
8827,吃 早饭 的,chi1   zao3 fan4   de,9
8829,吃完 了,chi1 wan2   le,9
8831,吃惊 地 张大,chi1 jing1   di4   zhang1 da4,9
9596,赫敏 吃惊,he4 min3   chi1 jing1,8
9648,罗恩 吃惊,luo2 en1   chi1 jing1,8
9913,想 吃,xiang3   chi1,8
9988,赫敏 吃惊 地,he4 min3   chi1 jing1   di4,8
10199,吃 午饭 的,chi1   wu3 fan4   de,8
10208,吃惊 地 张大 了,chi1 jing1   di4   zhang1 da4   le,8
10412,吃 什么,chi1   shen2 me,8
10499,没 吃,mei2   chi1,8
10728,在 吃,zai4   chi1,8
10782,非常 吃惊,fei1 chang2   chi1 jing1,8
11012,礼堂 吃,li3 tang2   chi1,7
11114,罗恩 吃惊 地,luo2 en1   chi1 jing1   di4,7
11292,天 吃,tian1   chi1,7
12145,吃 不,chi1   bu4,7
12146,吃 东西,chi1   dong1 xi1,7
12152,吃 午饭 的 时候,chi1   wu3 fan4   de   shi2 hou4,7
12154,吃 吧,chi1   ba,7
12158,吃 点,chi1   dian3,7
12163,吃惊 地 张大 了 嘴巴,chi1 jing1   di4   zhang1 da4   le   zui3 ba1,7
12395,有些 吃惊,you3 xie1   chi1 jing1,7
13307,大为 吃惊,da4 wei4   chi1 jing1,6
13679,使出 吃奶,shi3 chu1   chi1 nai3,6
13684,使出 吃奶 的 力气,shi3 chu1   chi1 nai3   de   li4 qi4,6
13687,使出 吃奶 的,shi3 chu1   chi1 nai3   de,6
14117,一起 吃,yi4 qi3   chi1,6
14118,开始 吃,kai1 shi3   chi1,6
14575,去 吃 午饭,qu4   chi1   wu3 fan4,6
14841,他 吃惊,ta1   chi1 jing1,6
14990,吃 早饭 的 时候,chi1   zao3 fan4   de   shi2 hou4,6
14993,吃奶 的,chi1 nai3   de,6
14994,吃 过 午饭,chi1   guo4   wu3 fan4,6
14995,吃奶 的 力气,chi1 nai3   de   li4 qi4,6
14999,吃惊 地 望,chi1 jing1   di4   wang4,6
15001,吃惊 地 望 着,chi1 jing1   di4   wang4   zhe,6
15002,吃惊 得,chi1 jing1   de2,6
15004,吃饭 的,chi1 fan4   de,6
15637,喜欢 吃,xi3 huan1   chi1,6
15737,他们 吃,ta1 men   chi1,6
16147,地 吃 着,di4   chi1   zhe,6
16713,天 吃 早饭,tian1   chi1   zao3 fan4,5
17050,好吃 的,hao3 chi1   de,5
17937,都 吃惊,dou1   chi1 jing1,5
18531,东西 吃,dong1 xi1   chi1,5
19074,他 吃,ta1   chi1,5
19274,吃 一 块,chi1   yi1   kuai4,5
19282,吃 他,chi1   ta1,5
19295,吃 过 早饭,chi1   guo4   zao3 fan4,5
19302,吃惊 地 发现,chi1 jing1   di4   fa1 xian4,5
19306,吃饭 时,chi1 fan4   shi2,5
19309,吃饭 的 时候,chi1 fan4   de   shi2 hou4,5
19445,是 吃,shi4   chi1,5
19815,来 吃,lai2   chi1,5
19836,哈利 吃,ha1 li4   chi1,5
20049,都 吃惊 地,dou1   chi1 jing1   di4,5
20509,也 没 吃,ye3   mei2   chi1,5
20764,不 吃,bu4   chi1,5
