Order Number,Item,Pinyin,Frequency
752,的 同学,de   tong2 xue2,59
1424,同学 都,tong2 xue2   dou1,38
1650,其他 同学,qi2 ta1   tong2 xue2,34
1668,班 同学,ban1   tong2 xue2,33
1695,全 班 同学,quan2   ban1   tong2 xue2,33
2104,同 一,tong2   yi1,27
2187,同学们 都,tong2 xue2 men   dou1,27
2385,同样 的,tong2 yang4   de,25
2927,的 同学们,de   tong2 xue2 men,21
3585,不同 的,bu4 tong2   de,18
5991,异口同声 地,yi4 kou3 tong2 sheng1   di4,12
6086,个 同学,ge4   tong2 xue2,12
6191,全班 同学,quan2 ban1   tong2 xue2,12
6461,全 班 同学 都,quan2   ban1   tong2 xue2   dou1,11
6848,同 一 个,tong2   yi1   ge4,11
6978,同学 一起,tong2 xue2   yi4 qi3,11
7039,班 同学 都,ban1   tong2 xue2   dou1,11
7079,在 同,zai4   tong2,11
8013,在 同 一,zai4   tong2   yi1,10
8282,学校 的 同学,xue2 xiao4   de   tong2 xue2,9
8557,完全 不同,wan2 quan2   bu4 tong2,9
8843,同时 又,tong2 shi2   you4,9
9007,魔法 学校 的 同学,mo2 fa3   xue2 xiao4   de   tong2 xue2,9
9074,不同寻常 的,bu4 tong2 xun2 chang2   de,9
9188,的 其他 同学,de   qi2 ta1   tong2 xue2,9
9291,在 魔法 学校 的 同学,zai4   mo2 fa3   xue2 xiao4   de   tong2 xue2,9
9407,着 同样,zhe   tong2 yang4,8
10426,哈利 在 魔法 学校 的 同学,ha1 li4   zai4   mo2 fa3   xue2 xiao4   de   tong2 xue2,8
10431,其他 同学 都,qi2 ta1   tong2 xue2   dou1,8
11253,大多数 同学,da4 duo1 shu4   tong2 xue2,7
11832,我 同意,wo3   tong2 yi4,7
12183,同学 也,tong2 xue2   ye3,7
12186,同学 都 在,tong2 xue2   dou1   zai4,7
12190,同时 也,tong2 shi2   ye3,7
12569,人 同时,ren2   tong2 shi2,7
12791,的 同学 都,de   tong2 xue2   dou1,7
13120,着 全 班 同学,zhe   quan2   ban1   tong2 xue2,6
13125,着 同样 的,zhe   tong2 yang4   de,6
13233,了 同样,le   tong2 yang4,6
13237,了 同样 的,le   tong2 yang4   de,6
14073,年级 的 同学,nian2 ji2   de   tong2 xue2,6
14127,异口同声 地 说,yi4 kou3 tong2 sheng1   di4   shuo1,6
15013,同学 的,tong2 xue2   de,6
15014,同意 了,tong2 yi4   le,6
15018,同时 他,tong2 shi2   ta1,6
16561,多 的 同学们,duo1   de   tong2 xue2 men,5
17069,如同 一,ru2 tong2   yi1,5
17273,许多 同学,xu3 duo1   tong2 xue2,5
17779,全 校 同学,quan2   xiao4   tong2 xue2,5
17864,其他 同学 一起,qi2 ta1   tong2 xue2   yi4 qi3,5
18413,与 吸血鬼 同,yu3   xi1 xue4 gui3   tong2,5
18422,与 吸血鬼 同 船 旅行,yu3   xi1 xue4 gui3   tong2   chuan2   lv3 xing2,5
18423,与 吸血鬼 同 船,yu3   xi1 xue4 gui3   tong2   chuan2,5
18844,上 其他 同学,shang4   qi2 ta1   tong2 xue2,5
19327,同 船 旅行,tong2   chuan2   lv3 xing2,5
19328,同 船,tong2   chuan2,5
19336,同学们 都 在,tong2 xue2 men   dou1   zai4,5
19337,同学 似乎,tong2 xue2   si4 hu1,5
19443,是 同,shi4   tong2,5
19444,是 同 一,shi4   tong2   yi1,5
19486,吸血鬼 同,xi1 xue4 gui3   tong2,5
19487,吸血鬼 同 船 旅行,xi1 xue4 gui3   tong2   chuan2   lv3 xing2,5
19492,吸血鬼 同 船,xi1 xue4 gui3   tong2   chuan2,5
19867,校 同学,xiao4   tong2 xue2,5
20343,班 上 其他 同学,ban1   shang4   qi2 ta1   tong2 xue2,5
20518,的 同伴,de   tong2 ban4,5
20524,的 同学们 都,de   tong2 xue2 men   dou1,5
20793,不 同意,bu4   tong2 yi4,5
