Order Number,Item,Pinyin,Frequency
160,的 名字,de   ming2 zi4,163
2023,一 名,yi1   ming2,28
2152,他 的 名字,ta1   de   ming2 zi4,27
2240,个 名字,ge4   ming2 zi4,26
3175,你 的 名字,ni3   de   ming2 zi4,20
4327,名字 投进,ming2 zi4   tou2 jin4,16
4438,我 的 名字,wo3   de   ming2 zi4,15
4704,名字 都,ming2 zi4   dou1,15
4745,连 名字,lian2   ming2 zi4,14
4746,连 名字 都,lian2   ming2 zi4   dou1,14
4749,连 名字 都 不 能,lian2   ming2 zi4   dou1   bu4   neng2,14
4878,连 名字 都 不,lian2   ming2 zi4   dou1   bu4,14
5053,连 名字 都 不 能 提,lian2   ming2 zi4   dou1   bu4   neng2   ti2,14
5096,名字 都 不 能 提,ming2 zi4   dou1   bu4   neng2   ti2,14
5097,名字 都 不 能,ming2 zi4   dou1   bu4   neng2,14
5099,名字 都 不 能 提 的,ming2 zi4   dou1   bu4   neng2   ti2   de,14
5104,这 个 名字,zhe4   ge4   ming2 zi4,14
5150,名字 都 不,ming2 zi4   dou1   bu4,14
5220,大名鼎鼎 的,da4 ming2 ding3 ding3   de,13
6782,把 你 的 名字,ba3   ni3   de   ming2 zi4,11
7071,的 名字 投进,de   ming2 zi4   tou2 jin4,11
7074,他们 的 名字,ta1 men   de   ming2 zi4,11
8309,签名 照片,qian1 ming2   zhao4 pian1,9
8733,把 我 的 名字,ba3   wo3   de   ming2 zi4,9
9020,那个 名字,na4 ge   ming2 zi4,9
9480,了 名,le   ming2,8
9772,著名 的,zhu4 ming2   de,8
10105,报名 参加,bao4 ming2   can1 jia1,8
10226,名字 投,ming2 zi4   tou2,8
10227,名字 时,ming2 zi4   shi2,8
10498,哈利 的 名字,ha1 li4   de   ming2 zi4,8
10687,人 的 名字,ren2   de   ming2 zi4,8
10713,的 名字 时,de   ming2 zi4   shi2,8
11069,签名 的,qian1 ming2   de,7
11499,那个 连 名字,na4 ge   lian2   ming2 zi4,7
11500,那个 连 名字 都 不,na4 ge   lian2   ming2 zi4   dou1   bu4,7
11848,两 名,liang3   ming2,7
12192,名字 了,ming2 zi4   le,7
12196,名字 投进 火焰杯,ming2 zi4   tou2 jin4   huo3 yan4 bei1,7
12199,名字 放进,ming2 zi4   fang4 jin4,7
12514,那个 连 名字 都,na4 ge   lian2   ming2 zi4   dou1,7
12520,那个 连 名字 都 不 能,na4 ge   lian2   ming2 zi4   dou1   bu4   neng2,7
12792,的 名字 放进,de   ming2 zi4   fang4 jin4,7
14756,把 名字,ba3   ming2 zi4,6
15022,名字 投 进去,ming2 zi4   tou2   jin4 qu4,6
15023,名字 的,ming2 zi4   de,6
15252,有 名气,you3   ming2 qi4,6
15825,的 名字 投,de   ming2 zi4   tou2,6
16676,第一 名,di4 yi1   ming2,5
17065,著名 的 哈利,zhu4 ming2   de   ha1 li4,5
17247,一 个 名字,yi1   ge4   ming2 zi4,5
17300,签 了 名,qian1   le   ming2,5
17886,亲笔 签名,qin1 bi3   qian1 ming2,5
18532,三 名,san1   ming2,5
18845,一 本 名叫,yi1   ben3   ming2 jiao4,5
18902,发 签名 照片,fa1   qian1 ming2   zhao4 pian1,5
18903,发 签名,fa1   qian1 ming2,5
19035,报名 参加 争霸赛,bao4 ming2   can1 jia1   zheng1 ba4 sai4,5
19342,名字 叫,ming2 zi4   jiao4,5
19343,名 追球手,ming2   zhui1 qiu2 shou3,5
19344,名 学生,ming2   xue2 sheng1,5
19788,本 名叫,ben3   ming2 jiao4,5
20523,的 名字 投 进去,de   ming2 zi4   tou2   jin4 qu4,5
20525,的 名字 投进 火焰杯,de   ming2 zi4   tou2 jin4   huo3 yan4 bei1,5
20780,的 签名,de   qian1 ming2,5
