Order Number,Item,Pinyin,Frequency
573,周围 的,zhou1 wei2   de,71
2416,环顾 四周,huan2 gu4   si4 zhou1,25
4583,他 周围,ta1   zhou1 wei2,15
5122,他们 周围,ta1 men   zhou1 wei2,14
5828,着 四周,zhe   si4 zhou1,12
6897,巫师 周刊,wu1 shi1   zhou1 kan1,11
7080,在 周围,zai4   zhou1 wei2,11
9038,哈利 环顾 四周,ha1 li4   huan2 gu4   si4 zhou1,9
9190,在 他 周围,zai4   ta1   zhou1 wei2,9
9363,着 周围,zhe   zhou1 wei2,8
10651,四周 的,si4 zhou1   de,8
12029,个 周末,ge4   zhou1 mo4,7
12068,他 周围 的,ta1   zhou1 wei2   de,7
12292,周围 的 一切,zhou1 wei2   de   yi1 qie4,7
12295,周围 的 人,zhou1 wei2   de   ren2,7
12782,在 他们 周围,zai4   ta1 men   zhou1 wei2,7
15145,周围 都 是,zhou1 wei2   dou1   shi4,6
15148,周围 都,zhou1 wei2   dou1,6
15747,他们 周围 的,ta1 men   zhou1 wei2   de,6
17158,了 看 四周,le   kan4   si4 zhou1,5
19708,一 周,yi1   zhou1,5
19846,哈利 周围,ha1 li4   zhou1 wei2,5
20324,环顾 着 四周,huan2 gu4   zhe   si4 zhou1,5
20554,在 周围 的,zai4   zhou1 wei2   de,5
20992,看 了 看 四周,kan4   le   kan4   si4 zhou1,5
20999,看 四周,kan4   si4 zhou1,5
