Order Number,Item,Pinyin,Frequency
718,在 哪儿,zai4   na3 er2,61
1290,在 哪里,zai4   na3 li3,40
1536,哪儿 去,na3 er2   qu4,36
2096,哪儿 去 了,na3 er2   qu4   le,28
2341,天 哪,tian1   na3,25
2719,从 哪儿,cong2   na3 er2,23
3243,上 哪儿,shang4   na3 er2,20
3366,上 哪儿 去,shang4   na3 er2   qu4,19
3748,去 哪儿,qu4   na3 er2,18
3781,的 天 哪,de   tian1   na3,17
3899,我 的 天 哪,wo3   de   tian1   na3,17
3995,哪 一,na3   yi1,17
3996,哪 个,na3   ge4,17
4008,是 从 哪儿,shi4   cong2   na3 er2,17
4322,上 哪儿 去 了,shang4   na3 er2   qu4   le,16
5202,哪儿 都,na3 er2   dou1,13
5989,到 哪儿,dao4   na3 er2,12
7291,了 哪里,le   na3 li3,10
8537,到 哪儿 去,dao4   na3 er2   qu4,9
8695,走到 哪儿,zou3 dao4   na3 er2,9
9885,到 哪里,dao4   na3 li3,8
10584,哪儿 呢,na3 er2   ne,8
11786,从 哪儿 弄来,cong2   na3 er2   nong4 lai2,7
11941,走到 哪里,zou3 dao4   na3 li3,7
12379,有 哪些,you3   na3 xie1,7
12645,哪儿 弄来,na3 er2   nong4 lai2,7
12648,哪里 去,na3 li3   qu4,7
13072,看 哪,kan4   na3,7
14108,人 哪,ren2   na3,6
14405,到 哪里 去,dao4   na3 li3   qu4,6
14474,从 哪儿 弄来 的,cong2   na3 er2   nong4 lai2   de,6
15604,哪个 学院,na3 ge   xue2 yuan4,6
15607,哪儿 了,na3 er2   le,6
15609,哪儿 弄来 的,na3 er2   nong4 lai2   de,6
16778,你 在 哪儿,ni3   zai4   na3 er2,5
17443,走到 哪儿 都,zou3 dao4   na3 er2   dou1,5
17965,都 有 哪些,dou1   you3   na3 xie1,5
18450,到 哪儿 去 了,dao4   na3 er2   qu4   le,5
18596,从 哪里,cong2   na3 li3,5
18603,从 哪儿 来 的,cong2   na3 er2   lai2   de,5
18604,从 哪儿 来,cong2   na3 er2   lai2,5
18730,去 了 哪里,qu4   le   na3 li3,5
18746,去 哪儿 呢,qu4   na3 er2   ne,5
19167,他 在 哪儿,ta1   zai4   na3 er2,5
19410,是 从 哪儿 来 的,shi4   cong2   na3 er2   lai2   de,5
19411,是 从 哪儿 来,shi4   cong2   na3 er2   lai2,5
19455,是 哪,shi4   na3,5
19458,是 在 哪儿,shi4   zai4   na3 er2,5
19719,有 哪,you3   na3,5
20246,哪儿 来 的,na3 er2   lai2   de,5
20247,哪儿 来,na3 er2   lai2,5
