Order Number,Item,Pinyin,Frequency
2412,吓坏 了,xia4 huai4   le,25
3880,坏 了,huai4   le,17
4760,坏 的,huai4   de,14
6249,气急败坏 地,qi4 ji2 bai4 huai4   di4,12
9031,气坏 了,qi4 huai4   le,9
9216,很 坏,hen3   huai4,9
9277,饿坏 了,e4 huai4   le,9
10729,的 坏话,de   huai4 hua4,8
12046,个 坏,ge4   huai4,7
12338,最 坏,zui4   huai4,7
12966,不 坏,bu4   huai4,7
15204,最 坏 的,zui4   huai4   de,6
15851,的 坏,de   huai4,6
16350,坏 多 比,huai4   duo1   bi3,5
16351,坏 多,huai4   duo1,5
16353,坏透 了,huai4 tou4   le,5
20018,气急败坏 地 说,qi4 ji2 bai4 huai4   di4   shuo1,5
