Order Number,Item,Pinyin,Frequency
894,多 塔楼,duo1   ta3 lou2,53
1203,格兰芬 多 塔楼,ge2 lan2 fen1   duo1   ta3 lou2,43
4419,塔楼 的,ta3 lou2   de,15
4461,罗斯默塔 女士,luo2 si1 mo4 ta3   nv3 shi4,15
5089,丽塔•斯基特 的,li4 ta3 • si1 ji1 te4   de,14
6578,罗斯 默塔,luo2 si1   mo4 ta3,11
7297,穆斯塔 发,mu4 si1 ta3   fa1,10
8214,塔楼 里,ta3 lou2   li3,9
8255,多 塔楼 的,duo1   ta3 lou2   de,9
10425,格兰芬 多 塔楼 的,ge2 lan2 fen1   duo1   ta3 lou2   de,8
11169,塔楼 去,ta3 lou2   qu4,7
13259,多 塔楼 去,duo1   ta3 lou2   qu4,6
13260,多 塔楼 里,duo1   ta3 lou2   li3,6
13437,罗斯 默塔 女士,luo2 si1   mo4 ta3   nv3 shi4,6
13843,返回 格兰芬 多 塔楼,fan3 hui2   ge2 lan2 fen1   duo1   ta3 lou2,6
14368,默塔 女士,mo4 ta3   nv3 shi4,6
15370,格兰芬 多 塔楼 里,ge2 lan2 fen1   duo1   ta3 lou2   li3,6
15853,的 塔楼,de   ta3 lou2,6
15963,在 格兰芬 多 塔楼,zai4   ge2 lan2 fen1   duo1   ta3 lou2,6
17560,辛尼斯塔 教授,xin1 ni2 si1 ta3   jiao4 shou4,5
20060,丽塔•斯基特 说,li4 ta3 • si1 ji1 te4   shuo1,5
20393,回格兰芬 多 塔楼,hui2 ge2 lan2 fen1   duo1   ta3 lou2,5
