Order Number,Item,Pinyin,Frequency
45,韦斯莱 夫人,wei2 si1 lai2   fu1 ren2,370
843,夫人 说,fu1 ren2   shuo1,55
1049,韦斯莱 夫人 说,wei2 si1 lai2   fu1 ren2   shuo1,47
1061,德思礼 夫妇,de2 si1 li3   fu1 fu4,47
1207,洛丽丝 夫人,luo4 li4 si1   fu1 ren2,43
1262,胖 夫人,pang4   fu1 ren2,41
1372,夫人 的,fu1 ren2   de,39
3073,韦斯莱 夫人 的,wei2 si1 lai2   fu1 ren2   de,21
3950,波特 夫妇,bo1 te4   fu1 fu4,17
4245,夫人 和,fu1 ren2   he2,16
4594,卡卡洛夫 的,ka3 ka3 luo4 fu1   de,15
4936,卡卡洛夫 教授,ka3 ka3 luo4 fu1   jiao4 shou4,14
5141,的 工夫,de   gong1 fu,14
5296,夫人 在,fu1 ren2   zai4,13
5297,夫妇 的,fu1 fu4   de,13
6458,眨眼 的 工夫,zha3 yan3   de   gong1 fu,11
6959,一 眨眼 的 工夫,yi1   zha3 yan3   de   gong1 fu,11
7118,韦斯莱 夫人 和,wei2 si1 lai2   fu1 ren2   he2,11
7135,韦斯莱 夫妇,wei2 si1 lai2   fu1 fu4,11
7464,韦斯莱 夫人 在,wei2 si1 lai2   fu1 ren2   zai4,10
7569,卡卡洛夫 说,ka3 ka3 luo4 fu1   shuo1,10
7822,和 韦斯莱 夫人,he2   wei2 si1 lai2   fu1 ren2,10
8354,夫人 把,fu1 ren2   ba3,9
8894,摩金 夫人,mo2 jin1   fu1 ren2,9
8899,是 韦斯莱 夫人,shi4   wei2 si1 lai2   fu1 ren2,9
8908,和 卡卡洛夫,he2   ka3 ka3 luo4 fu1,9
9256,韦斯莱 夫人 把,wei2 si1 lai2   fu1 ren2   ba3,9
10535,波特 夫妇 的,bo1 te4   fu1 fu4   de,8
10963,着 卡卡洛夫,zhe   ka3 ka3 luo4 fu1,7
11352,夫人 从,fu1 ren2   cong2,7
12245,是 卡卡洛夫,shi4   ka3 ka3 luo4 fu1,7
12445,布莱克 夫人,bu4 lai2 ke4   fu1 ren2,7
12967,在 韦斯莱 夫人,zai4   wei2 si1 lai2   fu1 ren2,7
13213,但 韦斯莱 夫人,dan4   wei2 si1 lai2   fu1 ren2,6
13392,夫人 又,fu1 ren2   you4,6
13393,夫人 对,fu1 ren2   dui4,6
13397,夫人 用,fu1 ren2   yong4,6
13472,胖 夫人 的,pang4   fu1 ren2   de,6
14268,韦斯莱 夫人 对,wei2 si1 lai2   fu1 ren2   dui4,6
14529,卢娜·洛夫 古德,lu2 na4 · luo4 fu1   gu3 de2,6
15373,梅森 夫人,mei2 sen1   fu1 ren2,6
16784,夫人 和 比尔,fu1 ren2   he2   bi3 er3,5
16800,夫人 说 着,fu1 ren2   shuo1   zhe,5
16920,胖夫人 的,pang4 fu1 ren2   de,5
16921,胖 夫人 说,pang4   fu1 ren2   shuo1,5
17120,被 韦斯莱 夫人,bei4   wei2 si1 lai2   fu1 ren2,5
17501,了 韦斯莱 夫人,le   wei2 si1 lai2   fu1 ren2,5
17695,先生 和 夫人,xian1 sheng1   he2   fu1 ren2,5
17772,胖夫人 的 肖像,pang4 fu1 ren2   de   xiao4 xiang4,5
18253,韦斯莱 夫人 从,wei2 si1 lai2   fu1 ren2   cong2,5
18255,韦斯莱 夫人 和 比尔,wei2 si1 lai2   fu1 ren2   he2   bi3 er3,5
18257,韦斯莱 夫人 说 着,wei2 si1 lai2   fu1 ren2   shuo1   zhe,5
18258,韦斯莱 夫人 用,wei2 si1 lai2   fu1 ren2   yong4,5
19617,和 夫人,he2   fu1 ren2,5
