Order Number,Item,Pinyin,Frequency
276,消失 了,xiao1 shi1   le,115
1612,失去 了,shi1 qu4   le,34
2514,消失 在,xiao1 shi1   zai4,24
5114,就 消失,jiu4   xiao1 shi1,14
5725,就 消失 了,jiu4   xiao1 shi1   le,13
6925,消失 得,xiao1 shi1   de2,11
7078,也 消失,ye3   xiao1 shi1,11
7265,失声 尖叫,shi1 sheng1   jian1 jiao4,10
7923,消失 不见 了,xiao1 shi1   bu2 jian4   le,10
7924,消失 不见,xiao1 shi1   bu2 jian4,10
7925,消失 得 无影无踪,xiao1 shi1   de2   wu2 ying3 wu2 zong1,10
8355,失望 的,shi1 wang4   de,9
9077,消失 的,xiao1 shi1   de,9
10411,中 消失,zhong1   xiao1 shi1,8
10730,也 消失 了,ye3   xiao1 shi1   le,8
11106,失踪 了,shi1 zong1   le,7
12451,中 消失 了,zhong1   xiao1 shi1   le,7
13400,失控 的,shi1 kong4   de,6
13401,失望 地,shi1 wang4   di4,6
13405,失踪 的,shi1 zong1   de,6
13588,突然 消失,tu1 ran2   xiao1 shi1,6
15866,的 失踪,de   shi1 zong1,6
16657,笑容 消失 了,xiao4 rong2   xiao1 shi1   le,5
16658,笑容 消失,xiao4 rong2   xiao1 shi1,5
17362,便 消失,bian4   xiao1 shi1,5
18050,人 失望,ren2   shi1 wang4,5
18055,里 消失,li3   xiao1 shi1,5
18509,惊慌失措 的,jing1 huang1 shi1 cuo4   de,5
20563,的 失败,de   shi1 bai4,5
20649,令 人 失望,ling4   ren2   shi1 wang4,5
20772,的 笑容 消失 了,de   xiao4 rong2   xiao1 shi1   le,5
20773,的 笑容 消失,de   xiao4 rong2   xiao1 shi1,5
21030,地 消失,di4   xiao1 shi1,5
