Order Number,Item,Pinyin,Frequency
133,佩妮 姨妈,pei4 ni1   yi2 ma1,179
1403,玛姬 姑妈,ma3 ji1   gu1 ma1,38
1514,爸爸 妈妈,ba4 ba4   ma1 ma1,36
1802,姨妈 和,yi2 ma1   he2,31
2691,的 妈妈,de   ma1 ma1,23
4040,和 佩妮 姨妈,he2   pei4 ni1   yi2 ma1,17
4120,你 妈妈,ni3   ma1 ma1,16
4226,佩妮 姨妈 和,pei4 ni1   yi2 ma1   he2,16
4775,我 妈妈,wo3   ma1 ma1,14
4873,姨妈 和 姨父,yi2 ma1   he2   yi2 fu4,14
5362,姨妈 的,yi2 ma1   de,13
5365,姨父 和 佩妮 姨妈,yi2 fu4   he2   pei4 ni1   yi2 ma1,13
5686,弗农 姨父 和 佩妮 姨妈,fu2 nong2   yi2 fu4   he2   pei4 ni1   yi2 ma1,13
5998,佩妮 姨妈 的,pei4 ni1   yi2 ma1   de,12
6189,的 姨妈,de   yi2 ma1,12
6632,妈妈 不,ma1 ma1   bu4,11
7450,妈妈 和,ma1 ma1   he2,10
7453,妈妈 的,ma1 ma1   de,10
7710,妈妈 和 爸爸,ma1 ma1   he2   ba4 ba4,10
8066,的 爸爸 妈妈,de   ba4 ba4   ma1 ma1,10
8361,你 姨妈,ni3   yi2 ma1,9
8493,姨妈 和 达力,yi2 ma1   he2   da2 li4,9
8565,佩妮 姨妈 和 达力,pei4 ni1   yi2 ma1   he2   da2 li4,9
8804,他 妈妈,ta1   ma1 ma1,9
9572,佩妮 姨妈 说,pei4 ni1   yi2 ma1   shuo1,8
9798,姨妈 说,yi2 ma1   shuo1,8
9805,姨父 姨妈,yi2 fu4   yi2 ma1,8
11602,姑妈 的,gu1 ma1   de,7
11617,姨妈 姨父,yi2 ma1   yi2 fu4,7
12689,玛姬 姑妈 的,ma3 ji1   gu1 ma1   de,7
12819,的 姨妈 和 姨父,de   yi2 ma1   he2   yi2 fu4,7
12820,的 姨妈 和,de   yi2 ma1   he2,7
13564,妈妈 是,ma1 ma1   shi4,6
13565,妈妈 说,ma1 ma1   shuo1,6
13572,姨妈 和 弗农,yi2 ma1   he2   fu2 nong2,6
13575,姨妈 和 弗农 姨父,yi2 ma1   he2   fu2 nong2   yi2 fu4,6
13654,佩妮 姨妈 和 弗农,pei4 ni1   yi2 ma1   he2   fu2 nong2,6
13657,佩妮 姨妈 和 弗农 姨父,pei4 ni1   yi2 ma1   he2   fu2 nong2   yi2 fu4,6
15079,是 佩妮 姨妈,shi4   pei4 ni1   yi2 ma1,6
16313,了 佩妮 姨妈,le   pei4 ni1   yi2 ma1,5
17097,妈妈 在,ma1 ma1   zai4,5
17098,妈妈 不 会,ma1 ma1   bu4   hui4,5
17103,妈妈 给,ma1 ma1   gei3,5
17104,妈妈 就,ma1 ma1   jiu4,5
17122,姨妈 在,yi2 ma1   zai4,5
20571,的 妈妈 和 爸爸,de   ma1 ma1   he2   ba4 ba4,5
20572,的 妈妈 和,de   ma1 ma1   he2,5
