Order Number,Item,Pinyin,Frequency
133,佩妮 姨妈,pei4 ni1   yi2 ma1,179
1565,和 金妮,he2   jin1 ni1,35
3251,金妮 的,jin1 ni1   de,20
3489,和 佩妮,he2   pei4 ni1,19
4040,和 佩妮 姨妈,he2   pei4 ni1   yi2 ma1,17
4226,佩妮 姨妈 和,pei4 ni1   yi2 ma1   he2,16
5264,姨父 和 佩妮,yi2 fu4   he2   pei4 ni1,13
5365,姨父 和 佩妮 姨妈,yi2 fu4   he2   pei4 ni1   yi2 ma1,13
5463,金妮 说,jin1 ni1   shuo1,13
5668,乔治 和 金妮,qiao2 zhi4   he2   jin1 ni1,13
5685,弗农 姨父 和 佩妮,fu2 nong2   yi2 fu4   he2   pei4 ni1,13
5686,弗农 姨父 和 佩妮 姨妈,fu2 nong2   yi2 fu4   he2   pei4 ni1   yi2 ma1,13
5998,佩妮 姨妈 的,pei4 ni1   yi2 ma1   de,12
8565,佩妮 姨妈 和 达力,pei4 ni1   yi2 ma1   he2   da2 li4,9
9572,佩妮 姨妈 说,pei4 ni1   yi2 ma1   shuo1,8
10257,是 佩妮,shi4   pei4 ni1,8
11317,赫敏 和 金妮,he4 min3   he2   jin1 ni1,7
13654,佩妮 姨妈 和 弗农,pei4 ni1   yi2 ma1   he2   fu2 nong2,6
13657,佩妮 姨妈 和 弗农 姨父,pei4 ni1   yi2 ma1   he2   fu2 nong2   yi2 fu4,6
14156,金妮 在,jin1 ni1   zai4,6
14157,金妮 和,jin1 ni1   he2,6
14158,金妮 也,jin1 ni1   ye3,6
15079,是 佩妮 姨妈,shi4   pei4 ni1   yi2 ma1,6
16313,了 佩妮 姨妈,le   pei4 ni1   yi2 ma1,5
16314,了 佩妮,le   pei4 ni1,5
19003,把 金妮,ba3   jin1 ni1,5
19576,是 金妮,shi4   jin1 ni1,5
